Strain	Bead	Day	Trial	Count	Eggs
CR4	H	1	4	3	0
CR4	H	1	5	4	0
CR5	C	1	1	3	0
CR5	C	1	2	5	1
CR5	C	1	3	4	0
CR5	C	1	4	5	1
CR5	C	1	5	6	0
CR5	L	1	1	4	0
CR5	L	1	2	5	0
CR5	L	1	3	5	0
CR5	L	1	4	5	0
CR5	L	1	5	5	0
CR5	M	1	1	5	0
CR5	M	1	2	5	0
CR5	M	1	3	5	0
CR5	M	1	4	6	0
CR5	M	1	5	4	0
CR5	H	1	1	3	0
CR5	H	1	2	4	0
CR5	H	1	3	5	1
CR5	H	1	4	3	0
CR5	H	1	5	5	0
CR6	C	1	1	6	2
CR6	C	1	2	6	2
CR6	C	1	3	5	4
CR6	C	1	4	4	2
CR6	C	1	5	5	2
CR6	L	1	1	5	1
CR6	L	1	2	4	1
CR6	L	1	3	4	1
CR6	L	1	4	5	2
CR6	L	1	5	4	1
CR6	M	1	1	5	0
CR6	M	1	2	5	0
CR6	M	1	3	5	0
CR6	M	1	4	4	0
CR6	M	1	5	5	1
CR6	H	1	1	5	0
CR6	H	1	2	4	0
CR6	H	1	3	5	1
CR6	H	1	4	5	1
CR6	H	1	5	5	0
CR1	C	2	1	9	4
CR1	C	2	2	5	4
CR1	C	2	3	5	1
CR1	C	2	4	6	5
CR1	C	2	5	8	7
CR1	L	2	1	5	0
CR1	L	2	2	5	0
CR1	L	2	3	6	4
CR1	L	2	4	5	2
CR1	L	2	5	5	1
CR1	M	2	1	5	2
CR1	M	2	2	5	3
CR1	M	2	3	6	7
CR1	M	2	4	5	5
CR1	M	2	5	5	4
CR1	H	2	1	5	0
CR1	H	2	2	5	3
CR1	H	2	3	4	3
CR1	H	2	4	3	1
CR1	H	2	5	5	0
CR2	C	2	1	6	4
CR2	C	2	2	7	6
CR2	C	2	3	6	4
CR2	C	2	4	5	4
CR2	C	2	5	7	4
CR2	L	2	1	4	0
CR2	L	2	2	4	1
CR2	L	2	3	4	3
CR2	L	2	4	5	1
CR2	L	2	5	6	0
CR2	M	2	1	6	0
CR2	M	2	2	5	1
CR2	M	2	3	4	1
CR2	M	2	4	4	1
CR2	M	2	5	4	1
CR2	H	2	1	4	0
CR2	H	2	2	4	0
CR2	H	2	3	3	0
CR2	H	2	4	5	1
CR2	H	2	5	5	0
CR3	C	2	1	7	6
CR3	C	2	2	6	3
CR3	C	2	3	6	7
CR3	C	2	4	6	4
CR3	C	2	5	6	8
CR3	L	2	1	5	0
CR3	L	2	2	3	1
CR3	L	2	3	4	3
CR3	L	2	4	5	3
CR3	L	2	5	5	1
CR3	M	2	1	4	0
CR3	M	2	2	5	4
CR3	M	2	3	3	1
CR3	M	2	4	6	1
CR3	M	2	5	3	1
CR3	H	2	1	6	0
CR3	H	2	2	4	0
CR3	H	2	3	4	1
CR3	H	2	4	4	0
CR3	H	2	5	4	0
CR4	C	2	1	7	0
CR4	C	2	2	5	2
CR4	C	2	3	8	4
CR4	C	2	4	5	2
CR4	C	2	5	7	7
CR4	L	2	1	5	1
CR4	L	2	2	5	3
CR4	L	2	3	4	2
CR4	L	2	4	4	3
CR4	L	2	5	7	3
CR4	M	2	1	5	0
CR4	M	2	2	4	3
CR4	M	2	3	4	2
CR4	M	2	4	5	0
CR4	M	2	5	5	0
CR4	H	2	1	4	2
CR4	H	2	2	3	0
CR4	H	2	3	6	2
CR4	H	2	4	3	1
CR4	H	2	5	3	0
CR5	C	2	1	7	4
CR5	C	2	2	6	6
CR5	C	2	3	9	6
CR5	C	2	4	6	1
CR5	C	2	5	8	3
CR5	L	2	1	4	4
CR5	L	2	2	6	1
CR5	L	2	3	6	2
CR5	L	2	4	7	3
CR5	L	2	5	7	2
CR5	M	2	1	5	1
CR5	M	2	2	5	2
CR5	M	2	3	3	2
CR5	M	2	4	5	0
CR5	M	2	5	4	1
CR5	H	2	1	3	0
CR5	H	2	2	3	0
CR5	H	2	3	5	1
CR5	H	2	4	3	1
CR5	H	2	5	4	0
CR6	C	2	1	9	8
CR6	C	2	2	8	7
CR6	C	2	3	7	6
CR6	C	2	4	8	3
CR6	C	2	5	8	9
CR6	L	2	1	5	5
CR6	L	2	2	5	2
CR6	L	2	3	6	4
CR6	L	2	4	7	1
CR6	L	2	5	6	5
CR6	M	2	1	4	0
CR6	M	2	2	4	2
CR6	M	2	3	5	4
CR6	M	2	4	4	1
CR6	M	2	5	4	2
CR6	H	2	1	3	0
CR6	H	2	2	1	0
CR6	H	2	3	4	0
CR6	H	2	4	6	0
CR6	H	2	5	5	1
CR1	C	3	1	8	3
CR1	C	3	2	10	4
CR1	C	3	3	7	5
CR1	C	3	4	9	2
CR1	C	3	5	10	1
CR1	L	3	1	7	1
CR1	L	3	2	8	0
CR1	L	3	3	8	1
CR1	L	3	4	7	0
CR1	L	3	5	6	1
CR1	M	3	1	5	1
CR1	M	3	2	6	1
CR1	M	3	3	8	2
CR1	M	3	4	5	4
CR1	M	3	5	4	3
CR1	H	3	1	5	0
CR1	H	3	2	4	1
CR1	H	3	3	4	1
CR1	H	3	4	2	1
CR1	H	3	5	6	2
CR2	C	3	1	9	5
CR2	C	3	2	8	5
CR2	C	3	3	7	2
CR2	C	3	4	7	5
CR2	C	3	5	8	5
CR2	L	3	1	4	1
CR2	L	3	2	6	3
CR2	L	3	3	4	3
CR2	L	3	4	7	4
CR2	L	3	5	4	2
CR2	M	3	1	6	3
CR2	M	3	2	7	2
CR2	M	3	3	6	4
CR2	M	3	4	6	3
CR2	M	3	5	6	4
CR2	H	3	1	3	1
CR2	H	3	2	5	0
CR2	H	3	3	3	0
CR2	H	3	4	5	2
CR2	H	3	5	4	2
CR3	C	3	1	9	5
CR3	C	3	2	8	3
CR3	C	3	3	9	5
CR3	C	3	4	7	2
CR3	C	3	5	8	5
CR3	L	3	1	5	0
CR3	L	3	2	4	0
CR3	L	3	3	5	2
CR3	L	3	4	7	4
CR3	L	3	5	7	1
CR3	M	3	1	3	0
CR3	M	3	2	8	5
CR3	M	3	3	5	3
CR3	M	3	4	7	5
CR3	M	3	5	5	3
CR3	H	3	1	5	1
CR3	H	3	2	2	0
CR3	H	3	3	5	3
CR3	H	3	4	4	1
CR3	H	3	5	5	3
CR4	C	3	1	12	1
CR4	C	3	2	9	6
CR4	C	3	3	14	6
CR4	C	3	4	10	4
CR4	C	3	5	12	8
CR4	L	3	1	8	1
CR4	L	3	2	6	2
CR4	L	3	3	5	3
CR4	L	3	4	9	9
CR4	L	3	5	6	2
CR4	M	3	1	2	1
CR4	M	3	2	7	3
CR4	M	3	3	6	0
CR4	M	3	4	3	0
CR4	M	3	5	4	0
CR4	H	3	1	3	0
CR4	H	3	2	3	1
CR4	H	3	3	4	1
CR4	H	3	4	4	4
CR4	H	3	5	4	1
CR5	C	3	1	11	3
CR5	C	3	2	16	7
CR5	C	3	3	12	8
CR5	C	3	4	8	4
CR5	C	3	5	12	4
CR5	L	3	1	9	2
CR5	L	3	2	6	2
CR5	L	3	3	8	4
CR5	L	3	4	11	7
CR5	L	3	5	12	5
CR5	M	3	1	6	1
CR5	M	3	2	8	5
CR5	M	3	3	6	4
CR5	M	3	4	6	2
CR5	M	3	5	8	7
CR5	H	3	1	1	0
CR5	H	3	2	4	1
CR5	H	3	3	5	0
CR5	H	3	4	4	2
CR5	H	3	5	4	0
CR6	C	3	1	14	8
CR6	C	3	2	15	10
CR6	C	3	3	15	7
CR6	C	3	4	12	6
CR6	C	3	5	14	9
CR6	L	3	1	8	1
CR6	L	3	2	7	1
CR6	L	3	3	8	5
CR6	L	3	4	8	2
CR6	L	3	5	9	6
CR6	M	3	1	5	1
CR6	M	3	2	5	2
CR6	M	3	3	6	3
CR6	M	3	4	2	0
CR6	M	3	5	6	3
CR6	H	3	1	2	0
CR6	H	3	2	1	0
CR6	H	3	3	1	0
CR6	H	3	4	3	0
CR6	H	3	5	4	0
CR1	C	4	1	12	0
CR1	C	4	2	8	1
CR1	C	4	3	8	1
CR1	C	4	4	9	1
CR1	C	4	5	12	2
CR1	L	4	1	6	0
CR1	L	4	2	7	0
CR1	L	4	3	6	3
CR1	L	4	4	5	0
CR1	L	4	5	6	0
CR1	M	4	1	4	0
CR1	M	4	2	6	0
CR1	M	4	3	8	1
CR1	M	4	4	5	1
CR1	M	4	5	4	0
CR1	H	4	1	3	0
CR1	H	4	2	3	1
CR1	H	4	3	2	0
CR1	H	4	4	3	1
CR1	H	4	5	4	1
CR2	C	4	1	11	2
CR2	C	4	2	9	3
CR2	C	4	3	9	0
CR2	C	4	4	10	4
CR2	C	4	5	11	2
CR2	L	4	1	4	0
CR2	L	4	2	6	1
CR2	L	4	3	7	3
CR2	L	4	4	8	3
CR2	L	4	5	5	2
CR2	M	4	1	4	0
CR2	M	4	2	5	0
CR2	M	4	3	6	2
CR2	M	4	4	6	3
CR2	M	4	5	6	0
CR2	H	4	1	4	1
CR2	H	4	2	4	0
CR2	H	4	3	2	1
CR2	H	4	4	6	1
CR2	H	4	5	4	1
CR3	C	4	1	14	1
CR3	C	4	2	5	3
CR3	C	4	3	12	1
CR3	C	4	4	8	1
CR3	C	4	5	12	6
CR3	L	4	1	6	0
CR3	L	4	2	5	0
CR3	L	4	3	8	4
CR3	L	4	4	9	3
CR3	L	4	5	7	4
CR3	M	4	1	3	0
CR3	M	4	2	8	2
CR3	M	4	3	6	2
CR3	M	4	4	8	4
CR3	M	4	5	4	2
CR3	H	4	1	4	2
CR3	H	4	2	2	0
CR3	H	4	3	7	4
CR3	H	4	4	3	1
CR3	H	4	5	4	2
CR4	C	4	1	14	3
CR4	C	4	2	12	0
CR4	C	4	3	16	6
CR4	C	4	4	14	6
CR4	C	4	5	15	7
CR4	L	4	1	10	4
CR4	L	4	2	12	5
CR4	L	4	3	4	3
CR4	L	4	4	10	6
CR4	L	4	5	9	5
CR4	M	4	1	4	3
CR4	M	4	2	11	4
CR4	M	4	3	6	5
CR4	M	4	4	0	0
CR4	M	4	5	4	4
CR4	H	4	1	2	1
CR4	H	4	2	2	0
CR4	H	4	3	4	0
CR4	H	4	4	6	1
CR4	H	4	5	4	0
CR5	C	4	1	15	8
CR5	C	4	2	20	2
CR5	C	4	3	18	8
CR5	C	4	4	15	4
CR5	C	4	5	20	5
CR5	L	4	1	8	2
CR5	L	4	2	4	0
CR5	L	4	3	11	4
CR5	L	4	4	12	4
CR5	L	4	5	15	1
CR5	M	4	1	6	1
CR5	M	4	2	9	3
CR5	M	4	3	7	3
CR5	M	4	4	7	4
CR5	M	4	5	10	6
CR5	H	4	1	1	0
CR5	H	4	2	4	0
CR5	H	4	3	5	0
CR5	H	4	4	4	3
CR5	H	4	5	1	0
CR6	C	4	1	14	5
CR6	C	4	2	18	4
CR6	C	4	3	15	3
CR6	C	4	4	14	5
CR6	C	4	5	14	7
CR6	L	4	1	9	1
CR6	L	4	2	10	2
CR6	L	4	3	9	3
CR6	L	4	4	8	1
CR6	L	4	5	12	3
CR6	M	4	1	5	2
CR6	M	4	2	7	2
CR6	M	4	3	10	4
CR6	M	4	4	0	0
CR6	M	4	5	5	3
CR6	H	4	1	1	0
CR6	H	4	2	0	0
CR6	H	4	3	1	0
CR6	H	4	4	2	0
CR6	H	4	5	3	0
CR1	C	5	1	9	0
CR1	C	5	2	9	0
CR1	C	5	3	9	0
CR1	C	5	4	8	0
CR1	C	5	5	10	2
CR1	L	5	1	5	0
CR1	L	5	2	6	0
CR1	L	5	3	6	1
CR1	L	5	4	6	0
CR1	L	5	5	4	0
CR1	M	5	1	6	0
CR1	M	5	2	5	0
CR1	M	5	3	6	1
CR1	M	5	4	4	2
CR1	M	5	5	3	0
CR1	H	5	1	3	0
CR1	H	5	2	3	0
CR1	H	5	3	0	0
CR1	H	5	4	0	0
CR1	H	5	5	4	1
CR2	C	5	1	10	1
CR2	C	5	2	4	1
CR2	C	5	3	8	0
CR2	C	5	4	6	2
CR2	C	5	5	11	0
CR2	L	5	1	4	0
CR2	L	5	2	6	0
CR2	L	5	3	10	3
CR2	L	5	4	9	0
CR2	L	5	5	4	0
CR2	M	5	1	5	0
CR2	M	5	2	4	0
CR2	M	5	3	7	1
CR2	M	5	4	5	0
CR2	M	5	5	6	1
CR2	H	5	1	3	1
CR2	H	5	2	2	0
CR2	H	5	3	1	1
CR2	H	5	4	7	0
CR2	H	5	5	5	0
