"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"
"CR5"	"C"	3.4	0.2262	0.2033	0.2489
"CR5"	"C"	3.5	0.2278	0.2049	0.2505
"CR5"	"C"	3.6	0.2293	0.2064	0.252
"CR5"	"C"	3.7	0.2308	0.2079	0.2534
"CR5"	"C"	3.8	0.2321	0.2092	0.2548
"CR5"	"C"	3.9	0.2334	0.2106	0.2561
"CR5"	"C"	4	0.2346	0.2119	0.2574
"CR5"	"C"	4.1	0.2358	0.2131	0.2586
"CR5"	"C"	4.2	0.237	0.2142	0.2597
"CR5"	"C"	4.3	0.2381	0.2154	0.2608
"CR5"	"C"	4.4	0.2391	0.2164	0.2619
"CR5"	"C"	4.5	0.2401	0.2175	0.2629
"CR5"	"C"	4.6	0.2411	0.2185	0.2638
"CR5"	"C"	4.7	0.242	0.2194	0.2648
"CR5"	"C"	4.8	0.2429	0.2204	0.2656
"CR5"	"C"	4.9	0.2438	0.2212	0.2665
"CR5"	"C"	5	0.2446	0.2221	0.2673
"CR5"	"C"	5.1	0.2454	0.223	0.2681
"CR5"	"C"	5.2	0.2461	0.2238	0.2689
"CR5"	"C"	5.3	0.2469	0.2245	0.2696
"CR5"	"C"	5.4	0.2476	0.2253	0.2703
"CR5"	"C"	5.5	0.2483	0.226	0.271
"CR5"	"C"	5.6	0.249	0.2267	0.2716
"CR5"	"C"	5.7	0.2496	0.2274	0.2723
"CR5"	"C"	5.8	0.2502	0.228	0.2729
"CR5"	"C"	5.9	0.2508	0.2287	0.2735
"CR5"	"C"	6	0.2514	0.2293	0.2741
"CR5"	"C"	6.1	0.252	0.2299	0.2746
"CR5"	"C"	6.2	0.2525	0.2305	0.2752
"CR5"	"C"	6.3	0.253	0.2311	0.2757
"CR5"	"C"	6.4	0.2536	0.2316	0.2762
"CR5"	"C"	6.5	0.2541	0.2322	0.2767
"CR5"	"C"	6.6	0.2546	0.2327	0.2772
"CR5"	"C"	6.7	0.255	0.2332	0.2776
"CR5"	"C"	6.8	0.2555	0.2337	0.2781
"CR5"	"C"	6.9	0.256	0.2342	0.2786
"CR5"	"C"	7	0.2564	0.2346	0.279
"CR5"	"C"	7.1	0.2568	0.2351	0.2794
"CR5"	"C"	7.2	0.2572	0.2355	0.2798
"CR5"	"C"	7.3	0.2576	0.236	0.2802
"CR5"	"C"	7.4	0.258	0.2364	0.2806
"CR5"	"C"	7.5	0.2584	0.2368	0.2809
"CR5"	"C"	7.6	0.2588	0.2372	0.2813
"CR5"	"C"	7.7	0.2592	0.2376	0.2817
"CR5"	"C"	7.8	0.2595	0.238	0.282
"CR5"	"C"	7.9	0.2599	0.2384	0.2824
"CR5"	"C"	8	0.2602	0.2387	0.2827
"CR5"	"C"	8.1	0.2605	0.2391	0.283
"CR5"	"C"	8.2	0.2609	0.2394	0.2833
"CR5"	"C"	8.3	0.2612	0.2397	0.2836
"CR5"	"C"	8.4	0.2615	0.2401	0.2839
"CR5"	"C"	8.5	0.2618	0.2404	0.2842
"CR5"	"C"	8.6	0.2621	0.2407	0.2845
"CR5"	"C"	8.7	0.2624	0.241	0.2848
"CR5"	"C"	8.8	0.2626	0.2414	0.2851
"CR5"	"C"	8.9	0.2629	0.2416	0.2853
"CR5"	"C"	9	0.2632	0.242	0.2856
"CR5"	"C"	9.1	0.2634	0.2422	0.2858
"CR5"	"C"	9.2	0.2637	0.2425	0.2861
"CR5"	"C"	9.3	0.264	0.2428	0.2864
"CR5"	"C"	9.4	0.2642	0.243	0.2866
"CR5"	"C"	9.5	0.2644	0.2433	0.2868
"CR5"	"C"	9.6	0.2647	0.2436	0.2871
"CR5"	"C"	9.7	0.2649	0.2438	0.2873
"CR5"	"C"	9.8	0.2652	0.2441	0.2875
"CR5"	"C"	9.9	0.2654	0.2443	0.2877
"CR5"	"C"	10	0.2656	0.2445	0.2879
"CR5"	"C"	10.1	0.2658	0.2448	0.2881
"CR5"	"C"	10.2	0.266	0.245	0.2883
"CR5"	"C"	10.3	0.2662	0.2452	0.2885
"CR5"	"C"	10.4	0.2664	0.2455	0.2887
"CR5"	"C"	10.5	0.2666	0.2457	0.2889
"CR5"	"C"	10.6	0.2668	0.2459	0.2891
"CR5"	"C"	10.7	0.267	0.2461	0.2893
"CR5"	"C"	10.8	0.2672	0.2463	0.2895
"CR5"	"C"	10.9	0.2674	0.2465	0.2896
"CR5"	"C"	11	0.2676	0.2467	0.2898
"CR5"	"C"	11.1	0.2678	0.2469	0.29
"CR5"	"C"	11.2	0.2679	0.2471	0.2902
"CR5"	"C"	11.3	0.2681	0.2473	0.2904
"CR5"	"C"	11.4	0.2683	0.2475	0.2905
"CR5"	"C"	11.5	0.2684	0.2477	0.2907
"CR5"	"C"	11.6	0.2686	0.2478	0.2908
"CR5"	"C"	11.7	0.2688	0.248	0.291
"CR5"	"C"	11.8	0.2689	0.2482	0.2911
"CR5"	"C"	11.9	0.2691	0.2484	0.2913
"CR5"	"C"	12	0.2692	0.2486	0.2914
"CR5"	"C"	12.1	0.2694	0.2487	0.2916
"CR5"	"C"	12.2	0.2696	0.2489	0.2917
"CR5"	"C"	12.3	0.2697	0.249	0.2919
"CR5"	"C"	12.4	0.2698	0.2492	0.292
"CR5"	"C"	12.5	0.27	0.2493	0.2922
"CR5"	"C"	12.6	0.2701	0.2495	0.2923
"CR5"	"C"	12.7	0.2702	0.2497	0.2924
"CR5"	"C"	12.8	0.2704	0.2498	0.2925
"CR5"	"C"	12.9	0.2705	0.25	0.2927
"CR5"	"C"	13	0.2706	0.2501	0.2928
"CR5"	"C"	13.1	0.2708	0.2502	0.2929
"CR5"	"C"	13.2	0.2709	0.2504	0.293
"CR5"	"C"	13.3	0.271	0.2505	0.2932
"CR5"	"C"	13.4	0.2712	0.2506	0.2933
"CR5"	"C"	13.5	0.2713	0.2508	0.2934
"CR5"	"C"	13.6	0.2714	0.2509	0.2935
"CR5"	"C"	13.7	0.2715	0.251	0.2936
"CR5"	"C"	13.8	0.2716	0.2512	0.2937
"CR5"	"C"	13.9	0.2718	0.2513	0.2938
"CR5"	"C"	14	0.2719	0.2514	0.294
"CR5"	"C"	14.1	0.272	0.2516	0.294
"CR5"	"C"	14.2	0.2721	0.2517	0.2942
"CR5"	"C"	14.3	0.2722	0.2518	0.2943
"CR5"	"C"	14.4	0.2723	0.2519	0.2944
"CR5"	"C"	14.5	0.2724	0.252	0.2945
"CR5"	"C"	14.6	0.2725	0.2522	0.2946
"CR5"	"C"	14.7	0.2726	0.2523	0.2947
"CR5"	"C"	14.8	0.2727	0.2524	0.2948
"CR5"	"C"	14.9	0.2728	0.2525	0.2949
"CR5"	"C"	15	0.2729	0.2526	0.295
"CR6"	"C"	0.1	0.0135	0.0108	0.0162
"CR6"	"C"	0.2	0.0262	0.02096	0.03144
"CR6"	"C"	0.3	0.038	0.0304	0.0456
"CR6"	"C"	0.4	0.0491	0.03928	0.05892
"CR6"	"C"	0.5	0.0595	0.0476	0.0714
"CR6"	"C"	0.6	0.0692	0.05536	0.08304
"CR6"	"C"	0.7	0.0782	0.06256	0.09384
"CR6"	"C"	0.8	0.0867	0.06936	0.10404
"CR6"	"C"	0.9	0.0946	0.07568	0.11352
"CR6"	"C"	1	0.102	0.0816	0.1224
"CR6"	"C"	1.1	0.1089	0.08712	0.13068
"CR6"	"C"	1.2	0.1154	0.09232	0.13848
"CR6"	"C"	1.3	0.1215	0.0972	0.1458
"CR6"	"C"	1.4	0.1272	0.10176	0.15264
"CR6"	"C"	1.5	0.1326	0.10608	0.15912
"CR6"	"C"	1.6	0.1377	0.11016	0.16524
"CR6"	"C"	1.7	0.1424	0.11392	0.17088
"CR6"	"C"	1.8	0.147	0.1176	0.1764
"CR6"	"C"	1.9	0.1512	0.12096	0.18144
"CR6"	"C"	2	0.1552	0.12416	0.18624
"CR6"	"C"	2.1	0.159	0.1272	0.1908
"CR6"	"C"	2.2	0.1626	0.13008	0.19512
"CR6"	"C"	2.3	0.166	0.1328	0.1992
"CR6"	"C"	2.4	0.1693	0.13544	0.20316
"CR6"	"C"	2.5	0.1723	0.13784	0.20676
"CR6"	"C"	2.6	0.1752	0.14016	0.21024
"CR6"	"C"	2.7	0.1781	0.14248	0.21372
"CR6"	"C"	2.8	0.1807	0.14456	0.21684
"CR6"	"C"	2.9	0.1832	0.14656	0.21984
"CR6"	"C"	3	0.1857	0.14856	0.22284
"CR6"	"C"	3.1	0.188	0.1504	0.2256
"CR6"	"C"	3.2	0.1902	0.15216	0.2282
"CR6"	"C"	3.3	0.1923	0.1539	0.2306
"CR6"	"C"	3.4	0.1943	0.1558	0.2328
"CR6"	"C"	3.5	0.1963	0.1577	0.2351
"CR6"	"C"	3.6	0.1981	0.1594	0.2371
"CR6"	"C"	3.7	0.1999	0.1611	0.2391
"CR6"	"C"	3.8	0.2016	0.1627	0.241
"CR6"	"C"	3.9	0.2033	0.1643	0.2429
"CR6"	"C"	4	0.2049	0.1658	0.2446
"CR6"	"C"	4.1	0.2064	0.1673	0.2464
"CR6"	"C"	4.2	0.2079	0.1687	0.248
"CR6"	"C"	4.3	0.2093	0.1701	0.2496
"CR6"	"C"	4.4	0.2107	0.1714	0.251
"CR6"	"C"	4.5	0.212	0.1727	0.2525
"CR6"	"C"	4.6	0.2133	0.174	0.2539
"CR6"	"C"	4.7	0.2145	0.1752	0.2553
"CR6"	"C"	4.8	0.2157	0.1764	0.2566
"CR6"	"C"	4.9	0.2169	0.1776	0.2578
"CR6"	"C"	5	0.218	0.1786	0.259
"CR6"	"C"	5.1	0.2191	0.1797	0.2602
"CR6"	"C"	5.2	0.2202	0.1808	0.2614
"CR6"	"C"	5.3	0.2212	0.1818	0.2625
"CR6"	"C"	5.4	0.2221	0.1828	0.2636
"CR6"	"C"	5.5	0.2231	0.1838	0.2646
"CR6"	"C"	5.6	0.224	0.1847	0.2656
"CR6"	"C"	5.7	0.2249	0.1856	0.2666
"CR6"	"C"	5.8	0.2258	0.1865	0.2675
"CR6"	"C"	5.9	0.2266	0.1873	0.2684
"CR6"	"C"	6	0.2275	0.1882	0.2693
"CR6"	"C"	6.1	0.2283	0.189	0.2702
"CR6"	"C"	6.2	0.2291	0.1898	0.271
"CR6"	"C"	6.3	0.2298	0.1906	0.2718
"CR6"	"C"	6.4	0.2306	0.1914	0.2726
"CR6"	"C"	6.5	0.2313	0.1921	0.2734
"CR6"	"C"	6.6	0.232	0.1928	0.2741
"CR6"	"C"	6.7	0.2327	0.1935	0.2748
"CR6"	"C"	6.8	0.2334	0.1942	0.2756
"CR6"	"C"	6.9	0.234	0.1949	0.2762
"CR6"	"C"	7	0.2346	0.1956	0.2769
"CR6"	"C"	7.1	0.2352	0.1962	0.2776
"CR6"	"C"	7.2	0.2358	0.1968	0.2782
"CR6"	"C"	7.3	0.2364	0.1974	0.2788
"CR6"	"C"	7.4	0.237	0.198	0.2795
"CR6"	"C"	7.5	0.2376	0.1986	0.28
"CR6"	"C"	7.6	0.2382	0.1992	0.2806
"CR6"	"C"	7.7	0.2387	0.1998	0.2812
"CR6"	"C"	7.8	0.2392	0.2003	0.2818
"CR6"	"C"	7.9	0.2397	0.2008	0.2823
"CR6"	"C"	8	0.2402	0.2014	0.2828
"CR6"	"C"	8.1	0.2407	0.2019	0.2834
"CR6"	"C"	8.2	0.2412	0.2024	0.2838
"CR6"	"C"	8.3	0.2416	0.2029	0.2844
"CR6"	"C"	8.4	0.2421	0.2034	0.2848
"CR6"	"C"	8.5	0.2426	0.2039	0.2853
"CR6"	"C"	8.6	0.243	0.2044	0.2858
"CR6"	"C"	8.7	0.2434	0.2048	0.2862
"CR6"	"C"	8.8	0.2439	0.2052	0.2867
"CR6"	"C"	8.9	0.2443	0.2057	0.2871
"CR6"	"C"	9	0.2447	0.2061	0.2875
"CR6"	"C"	9.1	0.2451	0.2066	0.288
"CR6"	"C"	9.2	0.2455	0.207	0.2884
"CR6"	"C"	9.3	0.2459	0.2074	0.2888
"CR6"	"C"	9.4	0.2462	0.2078	0.2892
"CR6"	"C"	9.5	0.2466	0.2082	0.2895
"CR6"	"C"	9.6	0.247	0.2086	0.2899
"CR6"	"C"	9.7	0.2473	0.209	0.2903
"CR6"	"C"	9.8	0.2477	0.2094	0.2906
"CR6"	"C"	9.9	0.248	0.2097	0.291
"CR6"	"C"	10	0.2483	0.2101	0.2914
"CR6"	"C"	10.1	0.2487	0.2104	0.2917
"CR6"	"C"	10.2	0.249	0.2108	0.292
"CR6"	"C"	10.3	0.2493	0.2111	0.2924
"CR6"	"C"	10.4	0.2497	0.2114	0.2927
"CR6"	"C"	10.5	0.25	0.2118	0.293
"CR6"	"C"	10.6	0.2502	0.2121	0.2933
"CR6"	"C"	10.7	0.2506	0.2124	0.2936
"CR6"	"C"	10.8	0.2508	0.2128	0.2939
"CR6"	"C"	10.9	0.2511	0.2131	0.2942
"CR6"	"C"	11	0.2514	0.2134	0.2945
"CR6"	"C"	11.1	0.2517	0.2137	0.2948
"CR6"	"C"	11.2	0.252	0.214	0.2951
"CR6"	"C"	11.3	0.2522	0.2143	0.2954
"CR6"	"C"	11.4	0.2525	0.2145	0.2956
"CR6"	"C"	11.5	0.2527	0.2149	0.2959
"CR6"	"C"	11.6	0.253	0.2151	0.2962
"CR6"	"C"	11.7	0.2532	0.2154	0.2964
"CR6"	"C"	11.8	0.2535	0.2157	0.2967
"CR6"	"C"	11.9	0.2537	0.216	0.2969
"CR6"	"C"	12	0.254	0.2162	0.2972
"CR6"	"C"	12.1	0.2542	0.2164	0.2974
"CR6"	"C"	12.2	0.2545	0.2167	0.2977
"CR6"	"C"	12.3	0.2547	0.217	0.2979
"CR6"	"C"	12.4	0.2549	0.2172	0.2982
"CR6"	"C"	12.5	0.2552	0.2175	0.2984
"CR6"	"C"	12.6	0.2554	0.2177	0.2986
"CR6"	"C"	12.7	0.2556	0.218	0.2988
"CR6"	"C"	12.8	0.2558	0.2182	0.299
"CR6"	"C"	12.9	0.256	0.2184	0.2992
"CR6"	"C"	13	0.2562	0.2187	0.2995
"CR6"	"C"	13.1	0.2564	0.2189	0.2997
"CR6"	"C"	13.2	0.2566	0.2191	0.2999
"CR6"	"C"	13.3	0.2568	0.2193	0.3001
"CR6"	"C"	13.4	0.257	0.2195	0.3003
"CR6"	"C"	13.5	0.2572	0.2197	0.3005
"CR6"	"C"	13.6	0.2574	0.22	0.3007
"CR6"	"C"	13.7	0.2576	0.2202	0.3009
"CR6"	"C"	13.8	0.2578	0.2203	0.301
"CR6"	"C"	13.9	0.258	0.2206	0.3012
"CR6"	"C"	14	0.2581	0.2208	0.3014
"CR6"	"C"	14.1	0.2583	0.221	0.3016
"CR6"	"C"	14.2	0.2585	0.2212	0.3018
"CR6"	"C"	14.3	0.2586	0.2213	0.302
"CR6"	"C"	14.4	0.2588	0.2215	0.3021
"CR6"	"C"	14.5	0.259	0.2217	0.3023
"CR6"	"C"	14.6	0.2592	0.2219	0.3025
"CR6"	"C"	14.7	0.2593	0.2221	0.3026
"CR6"	"C"	14.8	0.2595	0.2223	0.3028
"CR6"	"C"	14.9	0.2596	0.2225	0.303
"CR6"	"C"	15	0.2598	0.2226	0.3031
"CR1"	"L"	0.1	0.0015	0.0012	0.0018
"CR1"	"L"	0.2	0.0028	0.00224	0.00336
"CR1"	"L"	0.3	0.004	0.0032	0.0048
"CR1"	"L"	0.4	0.005	0.004	0.006
"CR1"	"L"	0.5	0.0059	0.00472	0.00708
"CR1"	"L"	0.6	0.0067	0.00536	0.00804
"CR1"	"L"	0.7	0.0074	0.00592	0.00888
"CR1"	"L"	0.8	0.0081	0.00648	0.00972
"CR1"	"L"	0.9	0.0087	0.00696	0.01044
"CR1"	"L"	1	0.0092	0.00736	0.01104
"CR1"	"L"	1.1	0.0097	0.00776	0.01164
"CR1"	"L"	1.2	0.0101	0.00808	0.01212
"CR1"	"L"	1.3	0.0106	0.00848	0.01272
"CR1"	"L"	1.4	0.011	0.0088	0.0132
"CR1"	"L"	1.5	0.0113	0.00904	0.01356
"CR1"	"L"	1.6	0.0117	0.00936	0.01404
"CR1"	"L"	1.7	0.012	0.0096	0.0144
"CR1"	"L"	1.8	0.0122	0.00976	0.01464
"CR1"	"L"	1.9	0.0125	0.01	0.015
"CR1"	"L"	2	0.0128	0.01024	0.01536
"CR1"	"L"	2.1	0.013	0.0104	0.0156
"CR1"	"L"	2.2	0.0132	0.01056	0.01584
"CR1"	"L"	2.3	0.0135	0.0108	0.0162
"CR1"	"L"	2.4	0.0137	0.01096	0.01644
"CR1"	"L"	2.5	0.0138	0.01104	0.01656
"CR1"	"L"	2.6	0.014	0.0112	0.0168
"CR1"	"L"	2.7	0.0142	0.01136	0.01704
"CR1"	"L"	2.8	0.0144	0.01152	0.01728
"CR1"	"L"	2.9	0.0145	0.0116	0.0174
"CR1"	"L"	3	0.0147	0.01176	0.01764
"CR1"	"L"	3.1	0.0148	0.01184	0.01776
"CR1"	"L"	3.2	0.015	0.012	0.018
"CR1"	"L"	3.3	0.0151	0.01208	0.01812
"CR1"	"L"	3.4	0.0152	0.01216	0.01824
"CR1"	"L"	3.5	0.0153	0.01224	0.01836
"CR1"	"L"	3.6	0.0154	0.01232	0.01848
"CR1"	"L"	3.7	0.0156	0.01248	0.01872
"CR1"	"L"	3.8	0.0157	0.01256	0.01884
"CR1"	"L"	3.9	0.0158	0.01264	0.01896
"CR1"	"L"	4	0.0158	0.01264	0.01896
"CR1"	"L"	4.1	0.0159	0.01272	0.01908
"CR1"	"L"	4.2	0.016	0.0128	0.0192
"CR1"	"L"	4.3	0.0161	0.01288	0.01932
"CR1"	"L"	4.4	0.0162	0.01296	0.01944
"CR1"	"L"	4.5	0.0163	0.01304	0.01956
"CR1"	"L"	4.6	0.0164	0.01312	0.01968
"CR1"	"L"	4.7	0.0164	0.01312	0.01968
"CR1"	"L"	4.8	0.0165	0.0132	0.0198
"CR1"	"L"	4.9	0.0166	0.01328	0.01992
"CR1"	"L"	5	0.0167	0.01336	0.02004
"CR1"	"L"	5.1	0.0167	0.01336	0.02004
"CR1"	"L"	5.2	0.0168	0.01344	0.02016
"CR1"	"L"	5.3	0.0169	0.01352	0.02028
"CR1"	"L"	5.4	0.0169	0.01352	0.02028
"CR1"	"L"	5.5	0.017	0.0136	0.0204
"CR1"	"L"	5.6	0.017	0.0136	0.0204
"CR1"	"L"	5.7	0.0171	0.01368	0.02052
"CR1"	"L"	5.8	0.0171	0.01368	0.02052
"CR1"	"L"	5.9	0.0172	0.01376	0.02064
"CR1"	"L"	6	0.0172	0.01376	0.02064
"CR1"	"L"	6.1	0.0173	0.01384	0.02076
"CR1"	"L"	6.2	0.0173	0.01384	0.02076
"CR1"	"L"	6.3	0.0174	0.01392	0.02088
"CR1"	"L"	6.4	0.0174	0.01392	0.02088
"CR1"	"L"	6.5	0.0174	0.01392	0.02088
"CR1"	"L"	6.6	0.0175	0.014	0.021
"CR1"	"L"	6.7	0.0175	0.014	0.021
"CR1"	"L"	6.8	0.0176	0.01408	0.02112
"CR1"	"L"	6.9	0.0176	0.01408	0.02112
"CR1"	"L"	7	0.0176	0.01408	0.02112
"CR1"	"L"	7.1	0.0177	0.01416	0.02124
"CR1"	"L"	7.2	0.0177	0.01416	0.02124
"CR1"	"L"	7.3	0.0178	0.01424	0.02136
"CR1"	"L"	7.4	0.0178	0.01424	0.02136
"CR1"	"L"	7.5	0.0178	0.01424	0.02136
"CR1"	"L"	7.6	0.0179	0.01432	0.02148
"CR1"	"L"	7.7	0.0179	0.01432	0.02148
"CR1"	"L"	7.8	0.0179	0.01432	0.02148
"CR1"	"L"	7.9	0.018	0.0144	0.0216
"CR1"	"L"	8	0.018	0.0144	0.0216
"CR1"	"L"	8.1	0.018	0.0144	0.0216
"CR1"	"L"	8.2	0.018	0.0144	0.0216
"CR1"	"L"	8.3	0.0181	0.01448	0.02172
"CR1"	"L"	8.4	0.0181	0.01448	0.02172
"CR1"	"L"	8.5	0.0181	0.01448	0.02172
"CR1"	"L"	8.6	0.0182	0.01456	0.02184
"CR1"	"L"	8.7	0.0182	0.01456	0.02184
"CR1"	"L"	8.8	0.0182	0.01456	0.02184
"CR1"	"L"	8.9	0.0182	0.01456	0.02184
"CR1"	"L"	9	0.0183	0.01464	0.02196
"CR1"	"L"	9.1	0.0183	0.01464	0.02196
"CR1"	"L"	9.2	0.0183	0.01464	0.02196
"CR1"	"L"	9.3	0.0184	0.01472	0.02208
"CR1"	"L"	9.4	0.0184	0.01472	0.02208
"CR1"	"L"	9.5	0.0184	0.01472	0.02208
"CR1"	"L"	9.6	0.0184	0.01472	0.02208
"CR1"	"L"	9.7	0.0184	0.01472	0.02208
"CR1"	"L"	9.8	0.0185	0.0148	0.0222
"CR1"	"L"	9.9	0.0185	0.0148	0.0222
"CR1"	"L"	10	0.0185	0.0148	0.0222
"CR1"	"L"	10.1	0.0185	0.0148	0.0222
"CR1"	"L"	10.2	0.0185	0.0148	0.0222
"CR1"	"L"	10.3	0.0186	0.01488	0.02232
"CR1"	"L"	10.4	0.0186	0.01488	0.02232
"CR1"	"L"	10.5	0.0186	0.01488	0.02232
"CR1"	"L"	10.6	0.0186	0.01488	0.02232
"CR1"	"L"	10.7	0.0186	0.01488	0.02232
"CR1"	"L"	10.8	0.0186	0.01488	0.02232
"CR1"	"L"	10.9	0.0187	0.01496	0.02244
"CR1"	"L"	11	0.0187	0.01496	0.02244
"CR1"	"L"	11.1	0.0187	0.01496	0.02244
"CR1"	"L"	11.2	0.0187	0.01496	0.02244
"CR1"	"L"	11.3	0.0187	0.01496	0.02244
"CR1"	"L"	11.4	0.0187	0.01496	0.02244
"CR1"	"L"	11.5	0.0188	0.01504	0.02256
"CR1"	"L"	11.6	0.0188	0.01504	0.02256
"CR1"	"L"	11.7	0.0188	0.01504	0.02256
"CR1"	"L"	11.8	0.0188	0.01504	0.02256
"CR1"	"L"	11.9	0.0188	0.01504	0.02256
"CR1"	"L"	12	0.0188	0.01504	0.02256
"CR1"	"L"	12.1	0.0188	0.01504	0.02256
"CR1"	"L"	12.2	0.0189	0.01512	0.02268
"CR1"	"L"	12.3	0.0189	0.01512	0.02268
"CR1"	"L"	12.4	0.0189	0.01512	0.02268
"CR1"	"L"	12.5	0.0189	0.01512	0.02268
"CR1"	"L"	12.6	0.0189	0.01512	0.02268
"CR1"	"L"	12.7	0.019	0.0152	0.0228
"CR1"	"L"	12.8	0.019	0.0152	0.0228
"CR1"	"L"	12.9	0.019	0.0152	0.0228
"CR1"	"L"	13	0.019	0.0152	0.0228
"CR1"	"L"	13.1	0.019	0.0152	0.0228
"CR1"	"L"	13.2	0.019	0.0152	0.0228
"CR1"	"L"	13.3	0.019	0.0152	0.0228
"CR1"	"L"	13.4	0.019	0.0152	0.0228
"CR1"	"L"	13.5	0.0191	0.01528	0.02292
"CR1"	"L"	13.6	0.0191	0.01528	0.02292
"CR1"	"L"	13.7	0.0191	0.01528	0.02292
"CR1"	"L"	13.8	0.0191	0.01528	0.02292
"CR1"	"L"	13.9	0.0191	0.01528	0.02292
"CR1"	"L"	14	0.0191	0.01528	0.02292
"CR1"	"L"	14.1	0.0191	0.01528	0.02292
"CR1"	"L"	14.2	0.0191	0.01528	0.02292
"CR1"	"L"	14.3	0.0191	0.01528	0.02292
"CR1"	"L"	14.4	0.0192	0.01536	0.02304
"CR1"	"L"	14.5	0.0192	0.01536	0.02304
"CR1"	"L"	14.6	0.0192	0.01536	0.02304
"CR1"	"L"	14.7	0.0192	0.01536	0.02304
"CR1"	"L"	14.8	0.0192	0.01536	0.02304
"CR1"	"L"	14.9	0.0192	0.01536	0.02304
"CR1"	"L"	15	0.0192	0.01536	0.02304
"CR2"	"L"	0.1	0.0012	0.00096	0.00144
"CR2"	"L"	0.2	0.0023	0.00184	0.00276
"CR2"	"L"	0.3	0.0034	0.00272	0.00408
"CR2"	"L"	0.4	0.0044	0.00352	0.00528
"CR2"	"L"	0.5	0.0054	0.00432	0.00648
"CR2"	"L"	0.6	0.0064	0.00512	0.00768
"CR2"	"L"	0.7	0.0073	0.00584	0.00876
"CR2"	"L"	0.8	0.0082	0.00656	0.00984
"CR2"	"L"	0.9	0.0091	0.00728	0.01092
"CR2"	"L"	1	0.0099	0.00792	0.01188
"CR2"	"L"	1.1	0.0107	0.00856	0.01284
"CR2"	"L"	1.2	0.0115	0.0092	0.0138
"CR2"	"L"	1.3	0.0122	0.00976	0.01464
"CR2"	"L"	1.4	0.013	0.0104	0.0156
"CR2"	"L"	1.5	0.0137	0.01096	0.01644
"CR2"	"L"	1.6	0.0143	0.01144	0.01716
"CR2"	"L"	1.7	0.015	0.012	0.018
"CR2"	"L"	1.8	0.0156	0.01248	0.01872
"CR2"	"L"	1.9	0.0162	0.01296	0.01944
"CR2"	"L"	2	0.0168	0.01344	0.02016
"CR2"	"L"	2.1	0.0174	0.01392	0.02088
"CR2"	"L"	2.2	0.018	0.0144	0.0216
"CR2"	"L"	2.3	0.0185	0.0148	0.0222
"CR2"	"L"	2.4	0.0191	0.01528	0.02292
"CR2"	"L"	2.5	0.0196	0.01568	0.02352
"CR2"	"L"	2.6	0.0201	0.01608	0.02412
"CR2"	"L"	2.7	0.0205	0.0164	0.0246
"CR2"	"L"	2.8	0.021	0.0168	0.0252
"CR2"	"L"	2.9	0.0215	0.0172	0.0258
"CR2"	"L"	3	0.022	0.0176	0.0264
"CR2"	"L"	3.1	0.0224	0.01792	0.02688
"CR2"	"L"	3.2	0.0228	0.01824	0.02736
"CR2"	"L"	3.3	0.0232	0.01856	0.02784
"CR2"	"L"	3.4	0.0236	0.01888	0.02832
"CR2"	"L"	3.5	0.024	0.0192	0.0288
"CR2"	"L"	3.6	0.0244	0.01952	0.02928
"CR2"	"L"	3.7	0.0248	0.01984	0.02976
"CR2"	"L"	3.8	0.0251	0.02008	0.03012
"CR2"	"L"	3.9	0.0255	0.0204	0.0306
"CR2"	"L"	4	0.0259	0.02072	0.03108
"CR2"	"L"	4.1	0.0262	0.02096	0.03144
"CR2"	"L"	4.2	0.0266	0.02128	0.03192
"CR2"	"L"	4.3	0.0269	0.02152	0.03228
"CR2"	"L"	4.4	0.0272	0.02176	0.03264
"CR2"	"L"	4.5	0.0275	0.022	0.033
"CR2"	"L"	4.6	0.0278	0.02224	0.03336
"CR2"	"L"	4.7	0.0281	0.02248	0.03372
"CR2"	"L"	4.8	0.0284	0.02272	0.03408
"CR2"	"L"	4.9	0.0287	0.02296	0.03444
"CR2"	"L"	5	0.029	0.0232	0.0348
"CR2"	"L"	5.1	0.0293	0.02344	0.03516
"CR2"	"L"	5.2	0.0295	0.0236	0.0354
"CR2"	"L"	5.3	0.0298	0.02384	0.03576
"CR2"	"L"	5.4	0.03	0.024	0.036
"CR2"	"L"	5.5	0.0303	0.02424	0.03636
"CR2"	"L"	5.6	0.0306	0.02448	0.03672
"CR2"	"L"	5.7	0.0308	0.02464	0.03696
"CR2"	"L"	5.8	0.031	0.0248	0.0372
"CR2"	"L"	5.9	0.0312	0.02496	0.03744
"CR2"	"L"	6	0.0315	0.0252	0.0378
"CR2"	"L"	6.1	0.0317	0.02536	0.03804
"CR2"	"L"	6.2	0.0319	0.02552	0.03828
"CR2"	"L"	6.3	0.0322	0.02576	0.03864
"CR2"	"L"	6.4	0.0323	0.02584	0.03876
"CR2"	"L"	6.5	0.0326	0.02608	0.03912
"CR2"	"L"	6.6	0.0328	0.02624	0.03936
"CR2"	"L"	6.7	0.033	0.0264	0.0396
"CR2"	"L"	6.8	0.0332	0.02656	0.03984
"CR2"	"L"	6.9	0.0334	0.02672	0.04008
"CR2"	"L"	7	0.0336	0.02688	0.04032
"CR2"	"L"	7.1	0.0338	0.02704	0.04056
"CR2"	"L"	7.2	0.0339	0.02712	0.04068
