"Strain"	"Bead"	"IDensP"	"IngesP"	"IngesPLSD"	"IngesPUSD"	"IngesPLCI"	"IngesPUCI"
"CR1"	"C"	0.1	0.0021	0.00168	0.00252	0.00168	0.00252
"CR1"	"C"	0.2	0.0041	0.00328	0.00492	0.00328	0.00492
"CR1"	"C"	0.3	0.0061	0.00488	0.00732	0.00488	0.00732
"CR1"	"C"	0.4	0.008	0.0064	0.0096	0.0064	0.0096
"CR1"	"C"	0.5	0.0099	0.00792	0.01188	0.00792	0.01188
"CR1"	"C"	0.6	0.0118	0.00944	0.01416	0.00944	0.01416
"CR1"	"C"	0.7	0.0136	0.01088	0.01632	0.01088	0.01632
"CR1"	"C"	0.8	0.0155	0.0124	0.0186	0.0124	0.0186
"CR1"	"C"	0.9	0.0172	0.01376	0.02064	0.01376	0.02064
"CR1"	"C"	1	0.019	0.0152	0.0228	0.0152	0.0228
"CR1"	"C"	1.1	0.0207	0.01656	0.02484	0.01656	0.02484
"CR1"	"C"	1.2	0.0224	0.01792	0.02688	0.01792	0.02688
"CR1"	"C"	1.3	0.024	0.0192	0.0288	0.0192	0.0288
"CR1"	"C"	1.4	0.0256	0.02048	0.03072	0.02048	0.03072
"CR1"	"C"	1.5	0.0272	0.02176	0.03264	0.02176	0.03264
"CR1"	"C"	1.6	0.0288	0.02304	0.03456	0.02304	0.03456
"CR1"	"C"	1.7	0.0303	0.02424	0.03636	0.02424	0.03636
"CR1"	"C"	1.8	0.0318	0.02544	0.03816	0.02544	0.03816
"CR1"	"C"	1.9	0.0333	0.02664	0.03996	0.02664	0.03996
"CR1"	"C"	2	0.0348	0.02784	0.04176	0.02784	0.04176
"CR1"	"C"	2.1	0.0362	0.02896	0.04344	0.02896	0.04344
"CR1"	"C"	2.2	0.0376	0.03008	0.04512	0.03008	0.04512
"CR1"	"C"	2.3	0.039	0.0312	0.0468	0.0312	0.0468
"CR1"	"C"	2.4	0.0404	0.03232	0.04848	0.03232	0.04848
"CR1"	"C"	2.5	0.0417	0.03336	0.05004	0.03336	0.05004
"CR1"	"C"	2.6	0.0431	0.03448	0.05172	0.03448	0.05172
"CR1"	"C"	2.7	0.0444	0.03552	0.05328	0.03552	0.05328
"CR1"	"C"	2.8	0.0457	0.03656	0.05484	0.03656	0.05484
"CR1"	"C"	2.9	0.0469	0.03752	0.05628	0.03752	0.05628
"CR1"	"C"	3	0.0482	0.03856	0.05784	0.03856	0.05784
"CR1"	"C"	3.1	0.0494	0.03952	0.05928	0.03952	0.05928
"CR1"	"C"	3.2	0.0506	0.04048	0.06072	0.04048	0.06072
"CR1"	"C"	3.3	0.0518	0.04144	0.06216	0.04144	0.06216
"CR1"	"C"	3.4	0.053	0.0424	0.0636	0.0424	0.0636
"CR1"	"C"	3.5	0.0541	0.04328	0.06492	0.04328	0.06492
"CR1"	"C"	3.6	0.0553	0.04424	0.06636	0.04424	0.06636
"CR1"	"C"	3.7	0.0564	0.04512	0.06768	0.04512	0.06768
"CR1"	"C"	3.8	0.0575	0.046	0.069	0.046	0.069
"CR1"	"C"	3.9	0.0586	0.04688	0.07032	0.04688	0.07032
"CR1"	"C"	4	0.0596	0.0478	0.0715	0.04768	0.07152
"CR1"	"C"	4.1	0.0607	0.0489	0.0725	0.04856	0.07284
"CR1"	"C"	4.2	0.0617	0.05	0.0735	0.04936	0.07404
"CR1"	"C"	4.3	0.0628	0.051	0.0745	0.05024	0.07536
"CR1"	"C"	4.4	0.0638	0.052	0.0756	0.05104	0.07656
"CR1"	"C"	4.5	0.0648	0.0529	0.0766	0.05184	0.07776
"CR1"	"C"	4.6	0.0658	0.0538	0.0777	0.05264	0.07896
"CR1"	"C"	4.7	0.0667	0.0546	0.0788	0.05336	0.08004
"CR1"	"C"	4.8	0.0677	0.0554	0.08	0.05416	0.08124
"CR1"	"C"	4.9	0.0687	0.0562	0.0811	0.05496	0.08244
"CR1"	"C"	5	0.0696	0.0569	0.0823	0.05568	0.08352
"CR1"	"C"	5.1	0.0705	0.0575	0.0835	0.0564	0.0846
"CR1"	"C"	5.2	0.0714	0.0581	0.0848	0.05712	0.08568
"CR1"	"C"	5.3	0.0723	0.0586	0.086	0.05784	0.08676
"CR1"	"C"	5.4	0.0732	0.0591	0.0873	0.05856	0.08784
"CR1"	"C"	5.5	0.0741	0.0596	0.0886	0.05928	0.08892
"CR1"	"C"	5.6	0.0749	0.06	0.08988	0.05992	0.08988
"CR1"	"C"	5.7	0.0758	0.06064	0.09096	0.06064	0.09096
"CR1"	"C"	5.8	0.0766	0.06128	0.09192	0.06128	0.09192
"CR1"	"C"	5.9	0.0775	0.062	0.093	0.062	0.093
"CR1"	"C"	6	0.0783	0.06264	0.09396	0.06264	0.09396
"CR1"	"C"	6.1	0.0791	0.06328	0.09492	0.06328	0.09492
"CR1"	"C"	6.2	0.0799	0.06392	0.09588	0.06392	0.09588
"CR1"	"C"	6.3	0.0807	0.06456	0.09684	0.06456	0.09684
"CR1"	"C"	6.4	0.0815	0.0652	0.0978	0.0652	0.0978
"CR1"	"C"	6.5	0.0823	0.06584	0.09876	0.06584	0.09876
"CR1"	"C"	6.6	0.083	0.0664	0.0996	0.0664	0.0996
"CR1"	"C"	6.7	0.0838	0.06704	0.10056	0.06704	0.10056
"CR1"	"C"	6.8	0.0845	0.0676	0.1014	0.0676	0.1014
"CR1"	"C"	6.9	0.0853	0.06824	0.10236	0.06824	0.10236
"CR1"	"C"	7	0.086	0.0688	0.1032	0.0688	0.1032
"CR1"	"C"	7.1	0.0867	0.06936	0.10404	0.06936	0.10404
"CR1"	"C"	7.2	0.0874	0.06992	0.10488	0.06992	0.10488
"CR1"	"C"	7.3	0.0881	0.07048	0.10572	0.07048	0.10572
"CR1"	"C"	7.4	0.0888	0.07104	0.10656	0.07104	0.10656
"CR1"	"C"	7.5	0.0895	0.0716	0.1074	0.0716	0.1074
"CR1"	"C"	7.6	0.0902	0.07216	0.10824	0.07216	0.10824
"CR1"	"C"	7.7	0.0908	0.07264	0.10896	0.07264	0.10896
"CR1"	"C"	7.8	0.0915	0.0732	0.1098	0.0732	0.1098
"CR1"	"C"	7.9	0.0922	0.07376	0.11064	0.07376	0.11064
"CR1"	"C"	8	0.0928	0.07424	0.11136	0.07424	0.11136
"CR1"	"C"	8.1	0.0935	0.0748	0.1122	0.0748	0.1122
"CR1"	"C"	8.2	0.0941	0.07528	0.11292	0.07528	0.11292
"CR1"	"C"	8.3	0.0947	0.07576	0.11364	0.07576	0.11364
"CR1"	"C"	8.4	0.0953	0.07624	0.11436	0.07624	0.11436
"CR1"	"C"	8.5	0.096	0.0768	0.1152	0.0768	0.1152
"CR1"	"C"	8.6	0.0966	0.07728	0.11592	0.07728	0.11592
"CR1"	"C"	8.7	0.0972	0.07776	0.11664	0.07776	0.11664
"CR1"	"C"	8.8	0.0978	0.07824	0.11736	0.07824	0.11736
"CR1"	"C"	8.9	0.0983	0.07864	0.11796	0.07864	0.11796
"CR1"	"C"	9	0.0989	0.07912	0.11868	0.07912	0.11868
"CR1"	"C"	9.1	0.0995	0.0796	0.1194	0.0796	0.1194
"CR1"	"C"	9.2	0.1001	0.08008	0.12012	0.08008	0.12012
"CR1"	"C"	9.3	0.1006	0.08048	0.12072	0.08048	0.12072
"CR1"	"C"	9.4	0.1012	0.08096	0.12144	0.08096	0.12144
"CR1"	"C"	9.5	0.1018	0.08144	0.12216	0.08144	0.12216
"CR1"	"C"	9.6	0.1023	0.08184	0.12276	0.08184	0.12276
"CR1"	"C"	9.7	0.1028	0.08224	0.12336	0.08224	0.12336
"CR1"	"C"	9.8	0.1034	0.08272	0.12408	0.08272	0.12408
"CR1"	"C"	9.9	0.1039	0.08312	0.12468	0.08312	0.12468
"CR1"	"C"	10	0.1044	0.08352	0.12528	0.08352	0.12528
"CR1"	"C"	10.1	0.105	0.084	0.126	0.084	0.126
"CR1"	"C"	10.2	0.1055	0.0844	0.1266	0.0844	0.1266
"CR1"	"C"	10.3	0.106	0.0848	0.1272	0.0848	0.1272
"CR1"	"C"	10.4	0.1065	0.0852	0.1278	0.0852	0.1278
"CR1"	"C"	10.5	0.107	0.0856	0.1284	0.0856	0.1284
"CR1"	"C"	10.6	0.1075	0.086	0.129	0.086	0.129
"CR1"	"C"	10.7	0.108	0.0864	0.1296	0.0864	0.1296
"CR1"	"C"	10.8	0.1085	0.0868	0.1302	0.0868	0.1302
"CR1"	"C"	10.9	0.1089	0.08712	0.13068	0.08712	0.13068
"CR1"	"C"	11	0.1094	0.08752	0.13128	0.08752	0.13128
"CR1"	"C"	11.1	0.1099	0.08792	0.13188	0.08792	0.13188
"CR1"	"C"	11.2	0.1104	0.08832	0.13248	0.08832	0.13248
"CR1"	"C"	11.3	0.1108	0.08864	0.13296	0.08864	0.13296
"CR1"	"C"	11.4	0.1113	0.08904	0.13356	0.08904	0.13356
"CR1"	"C"	11.5	0.1117	0.08936	0.13404	0.08936	0.13404
"CR1"	"C"	11.6	0.1122	0.08976	0.13464	0.08976	0.13464
"CR1"	"C"	11.7	0.1126	0.09008	0.13512	0.09008	0.13512
"CR1"	"C"	11.8	0.1131	0.09048	0.13572	0.09048	0.13572
"CR1"	"C"	11.9	0.1135	0.0908	0.1362	0.0908	0.1362
"CR1"	"C"	12	0.1139	0.09112	0.13668	0.09112	0.13668
"CR1"	"C"	12.1	0.1144	0.09152	0.13728	0.09152	0.13728
"CR1"	"C"	12.2	0.1148	0.09184	0.13776	0.09184	0.13776
"CR1"	"C"	12.3	0.1152	0.09216	0.13824	0.09216	0.13824
"CR1"	"C"	12.4	0.1156	0.09248	0.13872	0.09248	0.13872
"CR1"	"C"	12.5	0.1161	0.09288	0.13932	0.09288	0.13932
"CR1"	"C"	12.6	0.1165	0.0932	0.1398	0.0932	0.1398
"CR1"	"C"	12.7	0.1169	0.09352	0.14028	0.09352	0.14028
"CR1"	"C"	12.8	0.1173	0.09384	0.14076	0.09384	0.14076
"CR1"	"C"	12.9	0.1177	0.09416	0.14124	0.09416	0.14124
"CR1"	"C"	13	0.1181	0.09448	0.14172	0.09448	0.14172
"CR1"	"C"	13.1	0.1185	0.0948	0.1422	0.0948	0.1422
"CR1"	"C"	13.2	0.1189	0.09512	0.14268	0.09512	0.14268
"CR1"	"C"	13.3	0.1192	0.09536	0.14304	0.09536	0.14304
"CR1"	"C"	13.4	0.1196	0.09568	0.14352	0.09568	0.14352
"CR1"	"C"	13.5	0.12	0.096	0.144	0.096	0.144
"CR1"	"C"	13.6	0.1204	0.09632	0.14448	0.09632	0.14448
"CR1"	"C"	13.7	0.1208	0.09664	0.14496	0.09664	0.14496
"CR1"	"C"	13.8	0.1211	0.09688	0.14532	0.09688	0.14532
"CR1"	"C"	13.9	0.1215	0.0972	0.1458	0.0972	0.1458
"CR1"	"C"	14	0.1219	0.09752	0.14628	0.09752	0.14628
"CR1"	"C"	14.1	0.1222	0.09776	0.14664	0.09776	0.14664
"CR1"	"C"	14.2	0.1226	0.09808	0.14712	0.09808	0.14712
"CR1"	"C"	14.3	0.1229	0.09832	0.14748	0.09832	0.14748
"CR1"	"C"	14.4	0.1233	0.09864	0.14796	0.09864	0.14796
"CR1"	"C"	14.5	0.1236	0.09888	0.14832	0.09888	0.14832
"CR1"	"C"	14.6	0.124	0.0992	0.1488	0.0992	0.1488
"CR1"	"C"	14.7	0.1243	0.09944	0.14916	0.09944	0.14916
"CR1"	"C"	14.8	0.1247	0.09976	0.14964	0.09976	0.14964
"CR1"	"C"	14.9	0.125	0.1	0.15	0.1	0.15
"CR1"	"C"	15	0.1254	0.10032	0.15048	0.10032	0.15048
"CR1"	"L"	0.1	0.001	8e-04	0.0012	8e-04	0.0012
"CR1"	"L"	0.2	0.0019	0.00152	0.00228	0.00152	0.00228
"CR1"	"L"	0.3	0.0028	0.00224	0.00336	0.00224	0.00336
"CR1"	"L"	0.4	0.0035	0.0028	0.0042	0.0028	0.0042
"CR1"	"L"	0.5	0.0043	0.00344	0.00516	0.00344	0.00516
"CR1"	"L"	0.6	0.0049	0.00392	0.00588	0.00392	0.00588
"CR1"	"L"	0.7	0.0056	0.00448	0.00672	0.00448	0.00672
"CR1"	"L"	0.8	0.0062	0.00496	0.00744	0.00496	0.00744
"CR1"	"L"	0.9	0.0067	0.00536	0.00804	0.00536	0.00804
"CR1"	"L"	1	0.0072	0.00576	0.00864	0.00576	0.00864
"CR1"	"L"	1.1	0.0077	0.00616	0.00924	0.00616	0.00924
"CR1"	"L"	1.2	0.0082	0.00656	0.00984	0.00656	0.00984
"CR1"	"L"	1.3	0.0086	0.00688	0.01032	0.00688	0.01032
"CR1"	"L"	1.4	0.009	0.0072	0.0108	0.0072	0.0108
"CR1"	"L"	1.5	0.0094	0.0076	0.0112	0.00752	0.01128
"CR1"	"L"	1.6	0.0098	0.008	0.0116	0.00784	0.01176
"CR1"	"L"	1.7	0.0101	0.0084	0.0119	0.00808	0.01212
"CR1"	"L"	1.8	0.0105	0.0087	0.0122	0.0084	0.0126
"CR1"	"L"	1.9	0.0108	0.0091	0.0125	0.00864	0.01296
"CR1"	"L"	2	0.0111	0.0094	0.0127	0.00888	0.01332
"CR1"	"L"	2.1	0.0114	0.0097	0.013	0.00912	0.01368
"CR1"	"L"	2.2	0.0116	0.01	0.0133	0.00928	0.01392
"CR1"	"L"	2.3	0.0119	0.0103	0.0135	0.00952	0.01428
"CR1"	"L"	2.4	0.0122	0.0106	0.0137	0.00976	0.01464
"CR1"	"L"	2.5	0.0124	0.0109	0.014	0.00992	0.01488
"CR1"	"L"	2.6	0.0126	0.0111	0.0142	0.01008	0.01512
"CR1"	"L"	2.7	0.0129	0.0113	0.0144	0.01032	0.01548
"CR1"	"L"	2.8	0.0131	0.0115	0.0146	0.01048	0.01572
"CR1"	"L"	2.9	0.0133	0.0117	0.0148	0.01064	0.01596
"CR1"	"L"	3	0.0135	0.0119	0.015	0.0108	0.0162
"CR1"	"L"	3.1	0.0137	0.0121	0.0152	0.01096	0.01644
"CR1"	"L"	3.2	0.0139	0.0123	0.0154	0.01112	0.01668
"CR1"	"L"	3.3	0.014	0.0125	0.0156	0.0112	0.0168
"CR1"	"L"	3.4	0.0142	0.0126	0.0158	0.01136	0.01704
"CR1"	"L"	3.5	0.0144	0.0127	0.016	0.01152	0.01728
"CR1"	"L"	3.6	0.0145	0.0129	0.0162	0.0116	0.0174
"CR1"	"L"	3.7	0.0147	0.013	0.0164	0.01176	0.01764
"CR1"	"L"	3.8	0.0148	0.0131	0.0166	0.01184	0.01776
"CR1"	"L"	3.9	0.015	0.0132	0.0167	0.012	0.018
"CR1"	"L"	4	0.0151	0.0133	0.0169	0.01208	0.01812
"CR1"	"L"	4.1	0.0153	0.0134	0.0171	0.01224	0.01836
"CR1"	"L"	4.2	0.0154	0.0135	0.0173	0.01232	0.01848
"CR1"	"L"	4.3	0.0155	0.0136	0.0174	0.0124	0.0186
"CR1"	"L"	4.4	0.0156	0.0137	0.0176	0.01248	0.01872
"CR1"	"L"	4.5	0.0158	0.0138	0.0178	0.01264	0.01896
"CR1"	"L"	4.6	0.0159	0.0138	0.0179	0.01272	0.01908
"CR1"	"L"	4.7	0.016	0.0139	0.0181	0.0128	0.0192
"CR1"	"L"	4.8	0.0161	0.014	0.0182	0.01288	0.01932
"CR1"	"L"	4.9	0.0162	0.014	0.0184	0.01296	0.01944
"CR1"	"L"	5	0.0163	0.0141	0.0185	0.01304	0.01956
"CR1"	"L"	5.1	0.0164	0.0141	0.0187	0.01312	0.01968
"CR1"	"L"	5.2	0.0165	0.0142	0.0188	0.0132	0.0198
"CR1"	"L"	5.3	0.0166	0.0142	0.019	0.01328	0.01992
"CR1"	"L"	5.4	0.0167	0.0143	0.0191	0.01336	0.02004
"CR1"	"L"	5.5	0.0168	0.0143	0.0193	0.01344	0.02016
"CR1"	"L"	5.6	0.0169	0.0144	0.0194	0.01352	0.02028
"CR1"	"L"	5.7	0.017	0.0144	0.0195	0.0136	0.0204
"CR1"	"L"	5.8	0.0171	0.0145	0.0197	0.01368	0.02052
"CR1"	"L"	5.9	0.0171	0.0145	0.0198	0.01368	0.02052
"CR1"	"L"	6	0.0172	0.0145	0.0199	0.01376	0.02064
"CR1"	"L"	6.1	0.0173	0.0146	0.02	0.01384	0.02076
"CR1"	"L"	6.2	0.0174	0.0146	0.0201	0.01392	0.02088
"CR1"	"L"	6.3	0.0174	0.0146	0.0203	0.01392	0.02088
"CR1"	"L"	6.4	0.0175	0.0147	0.0204	0.014	0.021
"CR1"	"L"	6.5	0.0176	0.0147	0.0205	0.01408	0.02112
"CR1"	"L"	6.6	0.0177	0.0147	0.0206	0.01416	0.02124
"CR1"	"L"	6.7	0.0177	0.0147	0.0207	0.01416	0.02124
"CR1"	"L"	6.8	0.0178	0.0148	0.0208	0.01424	0.02136
"CR1"	"L"	6.9	0.0179	0.0148	0.0209	0.01432	0.02148
"CR1"	"L"	7	0.0179	0.0148	0.021	0.01432	0.02148
"CR1"	"L"	7.1	0.018	0.0148	0.0211	0.0144	0.0216
"CR1"	"L"	7.2	0.018	0.0149	0.0212	0.0144	0.0216
"CR1"	"L"	7.3	0.0181	0.0149	0.0213	0.01448	0.02172
"CR1"	"L"	7.4	0.0182	0.0149	0.0214	0.01456	0.02184
"CR1"	"L"	7.5	0.0182	0.0149	0.0215	0.01456	0.02184
"CR1"	"L"	7.6	0.0183	0.0149	0.0216	0.01464	0.02196
"CR1"	"L"	7.7	0.0183	0.015	0.0217	0.01464	0.02196
"CR1"	"L"	7.8	0.0184	0.015	0.0218	0.01472	0.02208
"CR1"	"L"	7.9	0.0184	0.015	0.0219	0.01472	0.02208
"CR1"	"L"	8	0.0185	0.015	0.022	0.0148	0.0222
"CR1"	"L"	8.1	0.0185	0.015	0.0221	0.0148	0.0222
"CR1"	"L"	8.2	0.0186	0.015	0.0222	0.01488	0.02232
"CR1"	"L"	8.3	0.0186	0.0151	0.0222	0.01488	0.02232
"CR1"	"L"	8.4	0.0187	0.0151	0.0223	0.01496	0.02244
"CR1"	"L"	8.5	0.0187	0.0151	0.0224	0.01496	0.02244
"CR1"	"L"	8.6	0.0188	0.0151	0.0225	0.01504	0.02256
"CR1"	"L"	8.7	0.0188	0.0151	0.02256	0.01504	0.02256
"CR1"	"L"	8.8	0.0189	0.01512	0.0226	0.01512	0.02268
"CR1"	"L"	8.9	0.0189	0.01512	0.02268	0.01512	0.02268
"CR1"	"L"	9	0.019	0.0152	0.0228	0.0152	0.0228
"CR1"	"L"	9.1	0.019	0.0152	0.0228	0.0152	0.0228
"CR1"	"L"	9.2	0.019	0.0152	0.0228	0.0152	0.0228
"CR1"	"L"	9.3	0.0191	0.01528	0.02292	0.01528	0.02292
"CR1"	"L"	9.4	0.0191	0.01528	0.02292	0.01528	0.02292
"CR1"	"L"	9.5	0.0192	0.01536	0.02304	0.01536	0.02304
"CR1"	"L"	9.6	0.0192	0.01536	0.02304	0.01536	0.02304
"CR1"	"L"	9.7	0.0192	0.01536	0.02304	0.01536	0.02304
"CR1"	"L"	9.8	0.0193	0.01544	0.02316	0.01544	0.02316
"CR1"	"L"	9.9	0.0193	0.01544	0.02316	0.01544	0.02316
"CR1"	"L"	10	0.0194	0.01552	0.02328	0.01552	0.02328
"CR1"	"L"	10.1	0.0194	0.01552	0.02328	0.01552	0.02328
"CR1"	"L"	10.2	0.0194	0.01552	0.02328	0.01552	0.02328
"CR1"	"L"	10.3	0.0195	0.0156	0.0234	0.0156	0.0234
"CR1"	"L"	10.4	0.0195	0.0156	0.0234	0.0156	0.0234
"CR1"	"L"	10.5	0.0195	0.0156	0.0234	0.0156	0.0234
"CR1"	"L"	10.6	0.0196	0.01568	0.02352	0.01568	0.02352
"CR1"	"L"	10.7	0.0196	0.01568	0.02352	0.01568	0.02352
"CR1"	"L"	10.8	0.0196	0.01568	0.02352	0.01568	0.02352
"CR1"	"L"	10.9	0.0197	0.01576	0.02364	0.01576	0.02364
"CR1"	"L"	11	0.0197	0.01576	0.02364	0.01576	0.02364
"CR1"	"L"	11.1	0.0197	0.01576	0.02364	0.01576	0.02364
"CR1"	"L"	11.2	0.0198	0.01584	0.02376	0.01584	0.02376
"CR1"	"L"	11.3	0.0198	0.01584	0.02376	0.01584	0.02376
"CR1"	"L"	11.4	0.0198	0.01584	0.02376	0.01584	0.02376
"CR1"	"L"	11.5	0.0198	0.01584	0.02376	0.01584	0.02376
"CR1"	"L"	11.6	0.0199	0.01592	0.02388	0.01592	0.02388
"CR1"	"L"	11.7	0.0199	0.01592	0.02388	0.01592	0.02388
"CR1"	"L"	11.8	0.0199	0.01592	0.02388	0.01592	0.02388
"CR1"	"L"	11.9	0.02	0.016	0.024	0.016	0.024
"CR1"	"L"	12	0.02	0.016	0.024	0.016	0.024
"CR1"	"L"	12.1	0.02	0.016	0.024	0.016	0.024
"CR1"	"L"	12.2	0.02	0.016	0.024	0.016	0.024
"CR1"	"L"	12.3	0.0201	0.01608	0.02412	0.01608	0.02412
"CR1"	"L"	12.4	0.0201	0.01608	0.02412	0.01608	0.02412
"CR1"	"L"	12.5	0.0201	0.01608	0.02412	0.01608	0.02412
"CR1"	"L"	12.6	0.0201	0.01608	0.02412	0.01608	0.02412
"CR1"	"L"	12.7	0.0202	0.01616	0.02424	0.01616	0.02424
"CR1"	"L"	12.8	0.0202	0.01616	0.02424	0.01616	0.02424
"CR1"	"L"	12.9	0.0202	0.01616	0.02424	0.01616	0.02424
"CR1"	"L"	13	0.0202	0.01616	0.02424	0.01616	0.02424
"CR1"	"L"	13.1	0.0203	0.01624	0.02436	0.01624	0.02436
"CR1"	"L"	13.2	0.0203	0.01624	0.02436	0.01624	0.02436
"CR1"	"L"	13.3	0.0203	0.01624	0.02436	0.01624	0.02436
"CR1"	"L"	13.4	0.0203	0.01624	0.02436	0.01624	0.02436
"CR1"	"L"	13.5	0.0203	0.01624	0.02436	0.01624	0.02436
"CR1"	"L"	13.6	0.0204	0.01632	0.02448	0.01632	0.02448
"CR1"	"L"	13.7	0.0204	0.01632	0.02448	0.01632	0.02448
"CR1"	"L"	13.8	0.0204	0.01632	0.02448	0.01632	0.02448
"CR1"	"L"	13.9	0.0204	0.01632	0.02448	0.01632	0.02448
"CR1"	"L"	14	0.0204	0.01632	0.02448	0.01632	0.02448
"CR1"	"L"	14.1	0.0205	0.0164	0.0246	0.0164	0.0246
"CR1"	"L"	14.2	0.0205	0.0164	0.0246	0.0164	0.0246
"CR1"	"L"	14.3	0.0205	0.0164	0.0246	0.0164	0.0246
"CR1"	"L"	14.4	0.0205	0.0164	0.0246	0.0164	0.0246
"CR1"	"L"	14.5	0.0205	0.0164	0.0246	0.0164	0.0246
"CR1"	"L"	14.6	0.0206	0.01648	0.02472	0.01648	0.02472
"CR1"	"L"	14.7	0.0206	0.01648	0.02472	0.01648	0.02472
"CR1"	"L"	14.8	0.0206	0.01648	0.02472	0.01648	0.02472
"CR1"	"L"	14.9	0.0206	0.01648	0.02472	0.01648	0.02472
"CR1"	"L"	15	0.0206	0.01648	0.02472	0.01648	0.02472
"CR1"	"M"	0.1	4e-04	0.00032	0.00048	0.00032	0.00048
"CR1"	"M"	0.2	8e-04	0.00064	9e-04	0.00064	0.00096
"CR1"	"M"	0.3	0.0011	9e-04	0.0013	0.00088	0.00132
"CR1"	"M"	0.4	0.0015	0.0012	0.0017	0.0012	0.0018
"CR1"	"M"	0.5	0.0018	0.0015	0.0021	0.00144	0.00216
"CR1"	"M"	0.6	0.0022	0.0018	0.0025	0.00176	0.00264
"CR1"	"M"	0.7	0.0025	0.0021	0.0029	0.002	0.003
"CR1"	"M"	0.8	0.0028	0.0024	0.0032	0.00224	0.00336
"CR1"	"M"	0.9	0.0031	0.0026	0.0035	0.00248	0.00372
"CR1"	"M"	1	0.0034	0.0029	0.0038	0.00272	0.00408
"CR1"	"M"	1.1	0.0036	0.0031	0.0041	0.00288	0.00432
"CR1"	"M"	1.2	0.0039	0.0034	0.0044	0.00312	0.00468
"CR1"	"M"	1.3	0.0042	0.0036	0.0047	0.00336	0.00504
"CR1"	"M"	1.4	0.0044	0.0039	0.005	0.00352	0.00528
"CR1"	"M"	1.5	0.0047	0.0041	0.0052	0.00376	0.00564
"CR1"	"M"	1.6	0.0049	0.0044	0.0055	0.00392	0.00588
"CR1"	"M"	1.7	0.0052	0.0046	0.0057	0.00416	0.00624
"CR1"	"M"	1.8	0.0054	0.0048	0.006	0.00432	0.00648
"CR1"	"M"	1.9	0.0056	0.005	0.0062	0.00448	0.00672
"CR1"	"M"	2	0.0058	0.0052	0.0064	0.00464	0.00696
"CR1"	"M"	2.1	0.006	0.0054	0.0066	0.0048	0.0072
"CR1"	"M"	2.2	0.0062	0.0056	0.0068	0.00496	0.00744
"CR1"	"M"	2.3	0.0064	0.0058	0.007	0.00512	0.00768
"CR1"	"M"	2.4	0.0066	0.006	0.0072	0.00528	0.00792
"CR1"	"M"	2.5	0.0068	0.0062	0.0074	0.00544	0.00816
"CR1"	"M"	2.6	0.007	0.0064	0.0076	0.0056	0.0084
"CR1"	"M"	2.7	0.0072	0.0066	0.0078	0.00576	0.00864
"CR1"	"M"	2.8	0.0074	0.0068	0.0079	0.00592	0.00888
"CR1"	"M"	2.9	0.0075	0.007	0.0081	0.006	0.009
"CR1"	"M"	3	0.0077	0.0071	0.0083	0.00616	0.0092
"CR1"	"M"	3.1	0.0079	0.0073	0.0084	0.00632	0.0094
"CR1"	"M"	3.2	0.008	0.0075	0.0086	0.0064	0.0095
"CR1"	"M"	3.3	0.0082	0.0076	0.0087	0.00656	0.0097
"CR1"	"M"	3.4	0.0083	0.0078	0.0089	0.00664	0.0098
"CR1"	"M"	3.5	0.0085	0.0079	0.009	0.0068	0.0099
"CR1"	"M"	3.6	0.0086	0.0081	0.0091	0.00688	0.0101
"CR1"	"M"	3.7	0.0088	0.0082	0.0093	0.00704	0.0102
"CR1"	"M"	3.8	0.0089	0.0084	0.0094	0.00712	0.0103
"CR1"	"M"	3.9	0.009	0.0085	0.0095	0.0073	0.0105
"CR1"	"M"	4	0.0092	0.0087	0.0097	0.0074	0.0106
"CR1"	"M"	4.1	0.0093	0.0088	0.0098	0.0076	0.0107
"CR1"	"M"	4.2	0.0094	0.0089	0.0099	0.0077	0.0108
"CR1"	"M"	4.3	0.0096	0.0091	0.01	0.0078	0.0109
"CR1"	"M"	4.4	0.0097	0.0092	0.0102	0.0079	0.011
"CR1"	"M"	4.5	0.0098	0.0093	0.0103	0.0081	0.0112
"CR1"	"M"	4.6	0.0099	0.0094	0.0104	0.0082	0.0113
"CR1"	"M"	4.7	0.01	0.0096	0.0105	0.0083	0.0114
"CR1"	"M"	4.8	0.0101	0.0097	0.0106	0.0084	0.0115
"CR1"	"M"	4.9	0.0103	0.0098	0.0107	0.0085	0.0116
"CR1"	"M"	5	0.0104	0.0099	0.0108	0.0087	0.0117
"CR1"	"M"	5.1	0.0105	0.01	0.0109	0.0088	0.0118
"CR1"	"M"	5.2	0.0106	0.0101	0.011	0.0089	0.0119
"CR1"	"M"	5.3	0.0107	0.0102	0.0111	0.009	0.012
"CR1"	"M"	5.4	0.0108	0.0103	0.0112	0.0091	0.0121
"CR1"	"M"	5.5	0.0109	0.0104	0.0114	0.0091	0.0122
"CR1"	"M"	5.6	0.011	0.0105	0.0115	0.0092	0.0123
"CR1"	"M"	5.7	0.0111	0.0106	0.0116	0.0093	0.0124
"CR1"	"M"	5.8	0.0112	0.0107	0.0116	0.0094	0.0125
"CR1"	"M"	5.9	0.0113	0.0108	0.0117	0.0095	0.0127
"CR1"	"M"	6	0.0114	0.0109	0.0118	0.0096	0.0128
"CR1"	"M"	6.1	0.0114	0.0109	0.0119	0.0096	0.0129
"CR1"	"M"	6.2	0.0115	0.011	0.012	0.0097	0.013
