Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR4	C	10	21	1	1,29	4	1	3160
CR4	C	10	21	1	1,29	4	2	2365
CR4	C	10	21	1	1,29	4	3	3570
CR4	L	10	21	1	1,29	4	1	3041
CR4	L	10	21	1	1,29	4	2	5043
CR4	L	10	21	1	1,29	4	3	3461
CR4	H	10	21	1	1,29	4	1	4600
CR4	H	10	21	1	1,29	4	2	3029
CR4	H	10	21	1	1,29	4	3	3101
CR2-CR4	C	10	21	1	1,29	4	1	1767
CR2-CR4	C	10	21	1	1,29	4	2	2441
CR2-CR4	C	10	21	1	1,29	4	3	2781
CR2-CR4	L	10	21	1	1,29	4	1	1368
CR2-CR4	L	10	21	1	1,29	4	2	1368
CR2-CR4	L	10	21	1	1,29	4	3	2789
CR2-CR4	H	10	21	1	1,29	4	1	878
CR2-CR4	H	10	21	1	1,29	4	2	2967
CR2-CR4	H	10	21	1	1,29	4	3	2491
CR2	C	10	21	1	1,29	5	1	727
CR2	C	10	21	1	1,29	5	2	1003
CR2	C	10	21	1	1,29	5	3	655
CR2	L	10	21	1	1,29	5	1	336
CR2	L	10	21	1	1,29	5	2	376
CR2	L	10	21	1	1,29	5	3	675
CR2	H	10	21	1	1,29	5	1	465
CR2	H	10	21	1	1,29	5	2	797
CR2	H	10	21	1	1,29	5	3	456
CR4	C	10	21	1	1,29	5	1	3067
CR4	C	10	21	1	1,29	5	2	3374
CR4	C	10	21	1	1,29	5	3	3685
CR4	L	10	21	1	1,29	5	1	2005
CR4	L	10	21	1	1,29	5	2	3350
CR4	L	10	21	1	1,29	5	3	3469
CR4	H	10	21	1	1,29	5	1	7400
CR4	H	10	21	1	1,29	5	2	3229
CR4	H	10	21	1	1,29	5	3	2297
CR2-CR4	C	10	21	1	1,29	5	1	1658
CR2-CR4	C	10	21	1	1,29	5	2	2137
CR2-CR4	C	10	21	1	1,29	5	3	1827
CR2-CR4	L	10	21	1	1,29	5	1	1065
CR2-CR4	L	10	21	1	1,29	5	2	1681
CR2-CR4	L	10	21	1	1,29	5	3	1852
CR2-CR4	H	10	21	1	1,29	5	1	952
CR2-CR4	H	10	21	1	1,29	5	2	4227
CR2-CR4	H	10	21	1	1,29	5	3	3600
CR2	C	10	21	1	1,29	6	1	515
CR2	C	10	21	1	1,29	6	2	1558
CR2	C	10	21	1	1,29	6	3	619
CR2	L	10	21	1	1,29	6	1	389
CR2	L	10	21	1	1,29	6	2	610
CR2	L	10	21	1	1,29	6	3	571
CR2	H	10	21	1	1,29	6	1	851
CR2	H	10	21	1	1,29	6	2	646
CR2	H	10	21	1	1,29	6	3	624
CR4	C	10	21	1	1,29	6	1	3705
CR4	C	10	21	1	1,29	6	2	3947
CR4	C	10	21	1	1,29	6	3	3500
CR4	L	10	21	1	1,29	6	1	2525
CR4	L	10	21	1	1,29	6	2	3506
CR4	L	10	21	1	1,29	6	3	4279
CR4	H	10	21	1	1,29	6	1	4150
CR4	H	10	21	1	1,29	6	2	3185
CR4	H	10	21	1	1,29	6	3	2186
CR2-CR4	C	10	21	1	1,29	6	1	1302
CR2-CR4	C	10	21	1	1,29	6	2	1502
CR2-CR4	C	10	21	1	1,29	6	3	1743
CR2-CR4	L	10	21	1	1,29	6	1	1928
CR2-CR4	L	10	21	1	1,29	6	2	1804
CR2-CR4	L	10	21	1	1,29	6	3	1681
CR2-CR4	H	10	21	1	1,29	6	1	638
CR2-CR4	H	10	21	1	1,29	6	2	1667
CR2-CR4	H	10	21	1	1,29	6	3	2176
CR2	C	10	21	1	1,29	7	1	981
CR2	C	10	21	1	1,29	7	2	1664
CR2	C	10	21	1	1,29	7	3	1045
CR2	L	10	21	1	1,29	7	1	395
CR2	L	10	21	1	1,29	7	2	717
CR2	L	10	21	1	1,29	7	3	730
CR2	H	10	21	1	1,29	7	1	815
CR2	H	10	21	1	1,29	7	2	1130
CR2	H	10	21	1	1,29	7	3	808
CR4	C	10	21	1	1,29	7	1	3145
CR4	C	10	21	1	1,29	7	2	3642
CR4	C	10	21	1	1,29	7	3	4132
CR4	L	10	21	1	1,29	7	1	2428
CR4	L	10	21	1	1,29	7	2	2762
CR4	L	10	21	1	1,29	7	3	3885
CR4	H	10	21	1	1,29	7	1	4088
CR4	H	10	21	1	1,29	7	2	2783
CR4	H	10	21	1	1,29	7	3	2704
CR2-CR4	C	10	21	1	1,29	7	1	1544
CR2-CR4	C	10	21	1	1,29	7	2	1970
CR2-CR4	C	10	21	1	1,29	7	3	2071
CR2-CR4	L	10	21	1	1,29	7	1	1670
CR2-CR4	L	10	21	1	1,29	7	2	2166
CR2-CR4	L	10	21	1	1,29	7	3	2360
CR2-CR4	H	10	21	1	1,29	7	1	1226
CR2-CR4	H	10	21	1	1,29	7	2	2331
CR2-CR4	H	10	21	1	1,29	7	3	1832
CR2	C	10	21	1	1,29	8	1	576
CR2	C	10	21	1	1,29	8	2	2984
CR2	C	10	21	1	1,29	8	3	975
CR2	L	10	21	1	1,29	8	1	636
CR2	L	10	21	1	1,29	8	2	655
CR2	L	10	21	1	1,29	8	3	1078
CR2	H	10	21	1	1,29	8	1	1189
CR2	H	10	21	1	1,29	8	2	843
CR2	H	10	21	1	1,29	8	3	1063
CR4	C	10	21	1	1,29	8	1	3177
CR4	C	10	21	1	1,29	8	2	3430
CR4	C	10	21	1	1,29	8	3	3628
CR4	L	10	21	1	1,29	8	1	2630
CR4	L	10	21	1	1,29	8	2	2572
CR4	L	10	21	1	1,29	8	3	4265
CR4	H	10	21	1	1,29	8	1	4821
CR4	H	10	21	1	1,29	8	2	2904
CR4	H	10	21	1	1,29	8	3	2555
CR2-CR4	C	10	21	1	1,29	8	1	1264
CR2-CR4	C	10	21	1	1,29	8	2	1418
CR2-CR4	C	10	21	1	1,29	8	3	1822
CR2-CR4	L	10	21	1	1,29	8	1	1444
CR2-CR4	L	10	21	1	1,29	8	2	1634
CR2-CR4	L	10	21	1	1,29	8	3	1725
CR2-CR4	H	10	21	1	1,29	8	1	1555
CR2-CR4	H	10	21	1	1,29	8	2	1594
CR2-CR4	H	10	21	1	1,29	8	3	1523
CR2	C	10	21	1	1,29	9	1	493
CR2	C	10	21	1	1,29	9	2	2745
CR2	C	10	21	1	1,29	9	3	1210
CR2	L	10	21	1	1,29	9	1	640
CR2	L	10	21	1	1,29	9	2	1158
CR2	L	10	21	1	1,29	9	3	940
CR2	H	10	21	1	1,29	9	1	2344
CR2	H	10	21	1	1,29	9	2	2551
CR2	H	10	21	1	1,29	9	3	894
CR4	C	10	21	1	1,29	9	1	2851
CR4	C	10	21	1	1,29	9	2	3632
CR4	C	10	21	1	1,29	9	3	2600
CR4	L	10	21	1	1,29	9	1	2516
CR4	L	10	21	1	1,29	9	2	2383
CR4	L	10	21	1	1,29	9	3	2709
CR4	H	10	21	1	1,29	9	1	3709
CR4	H	10	21	1	1,29	9	2	2600
CR4	H	10	21	1	1,29	9	3	3323
CR2-CR4	C	10	21	1	1,29	9	1	965
CR2-CR4	C	10	21	1	1,29	9	2	1476
CR2-CR4	C	10	21	1	1,29	9	3	1663
CR2-CR4	L	10	21	1	1,29	9	1	1500
CR2-CR4	L	10	21	1	1,29	9	2	1851
CR2-CR4	L	10	21	1	1,29	9	3	1433
CR2-CR4	H	10	21	1	1,29	9	1	1722
CR2-CR4	H	10	21	1	1,29	9	2	2231
CR2-CR4	H	10	21	1	1,29	9	3	1597
CR2	C	10	21	1	1,29	10	1	792
CR2	C	10	21	1	1,29	10	2	1988
CR2	C	10	21	1	1,29	10	3	835
CR2	L	10	21	1	1,29	10	1	561
CR2	L	10	21	1	1,29	10	2	634
CR2	L	10	21	1	1,29	10	3	728
CR2	H	10	21	1	1,29	10	1	1951
CR2	H	10	21	1	1,29	10	2	1065
CR2	H	10	21	1	1,29	10	3	844
CR4	C	10	21	1	1,29	10	1	3071
CR4	C	10	21	1	1,29	10	2	3262
CR4	C	10	21	1	1,29	10	3	2255
CR4	L	10	21	1	1,29	10	1	2631
CR4	L	10	21	1	1,29	10	2	2112
CR4	L	10	21	1	1,29	10	3	2269
CR4	H	10	21	1	1,29	10	1	4077
CR4	H	10	21	1	1,29	10	2	2151
CR4	H	10	21	1	1,29	10	3	2522
CR2-CR4	C	10	21	1	1,29	10	1	1232
CR2-CR4	C	10	21	1	1,29	10	2	1248
CR2-CR4	C	10	21	1	1,29	10	3	1442
CR2-CR4	L	10	21	1	1,29	10	1	1690
CR2-CR4	L	10	21	1	1,29	10	2	1748
CR2-CR4	L	10	21	1	1,29	10	3	1693
CR2-CR4	H	10	21	1	1,29	10	1	2141
CR2-CR4	H	10	21	1	1,29	10	2	2799
CR2-CR4	H	10	21	1	1,29	10	3	1475
CR2	C	10	21	1	1,29	11	1	542
CR2	C	10	21	1	1,29	11	2	1478
CR2	C	10	21	1	1,29	11	3	1049
CR2	L	10	21	1	1,29	11	1	622
CR2	L	10	21	1	1,29	11	2	550
CR2	L	10	21	1	1,29	11	3	477
CR2	H	10	21	1	1,29	11	1	1914
CR2	H	10	21	1	1,29	11	2	820
CR2	H	10	21	1	1,29	11	3	783
CR4	C	10	21	1	1,29	11	1	2938
CR4	C	10	21	1	1,29	11	2	2886
CR4	C	10	21	1	1,29	11	3	3794
CR4	L	10	21	1	1,29	11	1	1751
CR4	L	10	21	1	1,29	11	2	2129
CR4	L	10	21	1	1,29	11	3	2628
CR4	H	10	21	1	1,29	11	1	5842
CR4	H	10	21	1	1,29	11	2	2553
CR4	H	10	21	1	1,29	11	3	2177
CR2-CR4	C	10	21	1	1,29	11	1	1265
CR2-CR4	C	10	21	1	1,29	11	2	1278
CR2-CR4	C	10	21	1	1,29	11	3	1189
CR2-CR4	L	10	21	1	1,29	11	1	1412
CR2-CR4	L	10	21	1	1,29	11	2	1610
CR2-CR4	L	10	21	1	1,29	11	3	1320
CR2-CR4	H	10	21	1	1,29	11	1	1460
CR2-CR4	H	10	21	1	1,29	11	2	1723
CR2-CR4	H	10	21	1	1,29	11	3	2290
CR2	C	10	21	1	1,29	12	1	684
CR2	C	10	21	1	1,29	12	2	1717
CR2	C	10	21	1	1,29	12	3	600
CR2	L	10	21	1	1,29	12	1	367
CR2	L	10	21	1	1,29	12	2	553
CR2	L	10	21	1	1,29	12	3	663
CR2	H	10	21	1	1,29	12	1	2267
CR2	H	10	21	1	1,29	12	2	913
CR2	H	10	21	1	1,29	12	3	1488
CR4	C	10	21	1	1,29	12	1	2579
CR4	C	10	21	1	1,29	12	2	2317
CR4	C	10	21	1	1,29	12	3	1624
CR4	L	10	21	1	1,29	12	1	1662
CR4	L	10	21	1	1,29	12	2	2600
CR4	L	10	21	1	1,29	12	3	3168
CR4	H	10	21	1	1,29	12	1	3105
CR4	H	10	21	1	1,29	12	2	2149
CR4	H	10	21	1	1,29	12	3	1774
CR2-CR4	C	10	21	1	1,29	12	1	1229
CR2-CR4	C	10	21	1	1,29	12	2	1344
CR2-CR4	C	10	21	1	1,29	12	3	1584
CR2-CR4	L	10	21	1	1,29	12	1	1153
CR2-CR4	L	10	21	1	1,29	12	2	1228
CR2-CR4	L	10	21	1	1,29	12	3	1470
CR2-CR4	H	10	21	1	1,29	12	1	932
CR2-CR4	H	10	21	1	1,29	12	2	2528
CR2-CR4	H	10	21	1	1,29	12	3	2751
CR2	C	10	21	1	1,29	13	1	664
CR2	C	10	21	1	1,29	13	2	1590
CR2	C	10	21	1	1,29	13	3	885
CR2	L	10	21	1	1,29	13	1	787
CR2	L	10	21	1	1,29	13	2	519
CR2	L	10	21	1	1,29	13	3	959
CR2	H	10	21	1	1,29	13	1	2471
CR2	H	10	21	1	1,29	13	2	1132
CR2	H	10	21	1	1,29	13	3	1610
CR4	C	10	21	1	1,29	13	1	2471
CR4	C	10	21	1	1,29	13	2	2722
CR4	C	10	21	1	1,29	13	3	2329
CR4	L	10	21	1	1,29	13	1	1734
CR4	L	10	21	1	1,29	13	2	2203
CR4	L	10	21	1	1,29	13	3	2632
CR4	H	10	21	1	1,29	13	1	2623
CR4	H	10	21	1	1,29	13	2	2568
CR4	H	10	21	1	1,29	13	3	3643
CR2-CR4	C	10	21	1	1,29	13	1	1062
CR2-CR4	C	10	21	1	1,29	13	2	1290
CR2-CR4	C	10	21	1	1,29	13	3	2251
CR2-CR4	L	10	21	1	1,29	13	1	966
CR2-CR4	L	10	21	1	1,29	13	2	1422
CR2-CR4	L	10	21	1	1,29	13	3	1495
CR2-CR4	H	10	21	1	1,29	13	1	1195
CR2-CR4	H	10	21	1	1,29	13	2	2554
CR2-CR4	H	10	21	1	1,29	13	3	1621
CR2	C	10	21	1	1,29	14	1	686
CR2	C	10	21	1	1,29	14	2	1371
CR2	C	10	21	1	1,29	14	3	1379
CR2	L	10	21	1	1,29	14	1	603
CR2	L	10	21	1	1,29	14	2	889
CR2	L	10	21	1	1,29	14	3	749
CR2	H	10	21	1	1,29	14	1	2179
CR2	H	10	21	1	1,29	14	2	1087
CR2	H	10	21	1	1,29	14	3	2245
CR4	C	10	21	1	1,29	14	1	2695
CR4	C	10	21	1	1,29	14	2	1540
CR4	C	10	21	1	1,29	14	3	1866
CR4	L	10	21	1	1,29	14	1	1363
CR4	L	10	21	1	1,29	14	2	2064
CR4	L	10	21	1	1,29	14	3	3034
CR4	H	10	21	1	1,29	14	1	3787
CR4	H	10	21	1	1,29	14	2	2691
CR4	H	10	21	1	1,29	14	3	1732
CR2-CR4	C	10	21	1	1,29	14	1	794
CR2-CR4	C	10	21	1	1,29	14	2	889
CR2-CR4	C	10	21	1	1,29	14	3	1450
CR2-CR4	L	10	21	1	1,29	14	1	1245
CR2-CR4	L	10	21	1	1,29	14	2	1133
CR2-CR4	L	10	21	1	1,29	14	3	1658
CR2-CR4	H	10	21	1	1,29	14	1	1184
CR2-CR4	H	10	21	1	1,29	14	2	2474
CR2-CR4	H	10	21	1	1,29	14	3	1869
CR2	C	10	21	1	1,29	15	1	800
CR2	C	10	21	1	1,29	15	2	2219
CR2	C	10	21	1	1,29	15	3	665
CR2	L	10	21	1	1,29	15	1	515
CR2	L	10	21	1	1,29	15	2	1100
CR2	L	10	21	1	1,29	15	3	595
CR2	H	10	21	1	1,29	15	1	3263
CR2	H	10	21	1	1,29	15	2	962
CR2	H	10	21	1	1,29	15	3	2618
CR4	C	10	21	1	1,29	15	1	2475
CR4	C	10	21	1	1,29	15	2	2172
CR4	C	10	21	1	1,29	15	3	1765
CR4	L	10	21	1	1,29	15	1	1497
CR4	L	10	21	1	1,29	15	2	2140
CR4	L	10	21	1	1,29	15	3	2711
CR4	H	10	21	1	1,29	15	1	2663
CR4	H	10	21	1	1,29	15	2	2095
CR4	H	10	21	1	1,29	15	3	3375
CR2-CR4	C	10	21	1	1,29	15	1	840
CR2-CR4	C	10	21	1	1,29	15	2	1194
CR2-CR4	C	10	21	1	1,29	15	3	1003
CR2-CR4	L	10	21	1	1,29	15	1	1128
CR2-CR4	L	10	21	1	1,29	15	2	984
CR2-CR4	L	10	21	1	1,29	15	3	1429
CR2-CR4	H	10	21	1	1,29	15	1	1571
CR2-CR4	H	10	21	1	1,29	15	2	2342
CR2-CR4	H	10	21	1	1,29	15	3	2110
CR2	C	10	21	1	1,29	16	1	1094
CR2	C	10	21	1	1,29	16	2	1441
CR2	C	10	21	1	1,29	16	3	853
CR2	L	10	21	1	1,29	16	1	627
CR2	L	10	21	1	1,29	16	2	1072
CR2	L	10	21	1	1,29	16	3	1021
CR2	H	10	21	1	1,29	16	1	1179
CR2	H	10	21	1	1,29	16	2	1209
CR2	H	10	21	1	1,29	16	3	2767
CR4	C	10	21	1	1,29	16	1	2051
CR4	C	10	21	1	1,29	16	2	2448
CR4	C	10	21	1	1,29	16	3	2286
CR4	L	10	21	1	1,29	16	1	1574
CR4	L	10	21	1	1,29	16	2	1942
CR4	L	10	21	1	1,29	16	3	2465
CR4	H	10	21	1	1,29	16	1	3140
CR4	H	10	21	1	1,29	16	2	1738
CR4	H	10	21	1	1,29	16	3	2356
CR2-CR4	C	10	21	1	1,29	16	1	622
CR2-CR4	C	10	21	1	1,29	16	2	977
CR2-CR4	C	10	21	1	1,29	16	3	930
CR2-CR4	L	10	21	1	1,29	16	1	998
CR2-CR4	L	10	21	1	1,29	16	2	913
CR2-CR4	L	10	21	1	1,29	16	3	2143
CR2-CR4	H	10	21	1	1,29	16	1	2805
CR2-CR4	H	10	21	1	1,29	16	2	1887
CR2-CR4	H	10	21	1	1,29	16	3	1747
CR2	C	10	21	1	1,29	17	1	890
CR2	C	10	21	1	1,29	17	2	1104
CR2	C	10	21	1	1,29	17	3	946
CR2	L	10	21	1	1,29	17	1	642
CR2	L	10	21	1	1,29	17	2	871
CR2	L	10	21	1	1,29	17	3	830
CR2	H	10	21	1	1,29	17	1	1885
CR2	H	10	21	1	1,29	17	2	2129
CR2	H	10	21	1	1,29	17	3	2804
CR4	C	10	21	1	1,29	17	1	2044
CR4	C	10	21	1	1,29	17	2	2667
CR4	C	10	21	1	1,29	17	3	2079
CR4	L	10	21	1	1,29	17	1	1103
CR4	L	10	21	1	1,29	17	2	1701
CR4	L	10	21	1	1,29	17	3	2265
CR4	H	10	21	1	1,29	17	1	4077
CR4	H	10	21	1	1,29	17	2	2336
CR4	H	10	21	1	1,29	17	3	3068
CR2-CR4	C	10	21	1	1,29	17	1	466
CR2-CR4	C	10	21	1	1,29	17	2	746
CR2-CR4	C	10	21	1	1,29	17	3	819
CR2-CR4	L	10	21	1	1,29	17	1	959
CR2-CR4	L	10	21	1	1,29	17	2	882
CR2-CR4	L	10	21	1	1,29	17	3	2013
CR2-CR4	H	10	21	1	1,29	17	1	2230
CR2-CR4	H	10	21	1	1,29	17	2	2999
CR2-CR4	H	10	21	1	1,29	17	3	2434
CR2	C	10	21	1	1,29	18	1	691
CR2	C	10	21	1	1,29	18	2	1879
CR2	C	10	21	1	1,29	18	3	777
CR2	L	10	21	1	1,29	18	1	606
CR2	L	10	21	1	1,29	18	2	1438
CR2	L	10	21	1	1,29	18	3	1136
CR2	H	10	21	1	1,29	18	1	1322
CR2	H	10	21	1	1,29	18	2	1338
CR2	H	10	21	1	1,29	18	3	2274
