Strain	Bead	Conc	Volu	Site	Dilu	Cove	Trial	Cells
CR3	M	0,2	5	21	1	1,29	3	105
CR4	M	7,5	5	21	1	1,29	1	8422
CR4	M	7,5	5	21	1	1,29	2	8399
CR4	M	7,5	5	21	1	1,29	3	8489
CR4	M	5	5	21	1	1,29	1	6243
CR4	M	5	5	21	1	1,29	2	6245
CR4	M	5	5	21	1	1,29	3	6075
CR4	M	3	5	21	1	1,29	1	4101
CR4	M	3	5	21	1	1,29	2	3966
CR4	M	3	5	21	1	1,29	3	4025
CR4	M	1	5	21	1	1,29	1	1505
CR4	M	1	5	21	1	1,29	2	1441
CR4	M	1	5	21	1	1,29	3	1533
CR4	M	0,5	5	21	1	1,29	1	713
CR4	M	0,5	5	21	1	1,29	2	667
CR4	M	0,5	5	21	1	1,29	3	674
CR4	M	0,2	5	21	1	1,29	1	269
CR4	M	0,2	5	21	1	1,29	2	258
CR4	M	0,2	5	21	1	1,29	3	254
CR5	M	7,5	5	21	1	1,29	1	5928
CR5	M	7,5	5	21	1	1,29	2	5953
CR5	M	7,5	5	21	1	1,29	3	5747
CR5	M	5	5	21	1	1,29	1	4065
CR5	M	5	5	21	1	1,29	2	3732
CR5	M	5	5	21	1	1,29	3	3688
CR5	M	3	5	21	1	1,29	1	2179
CR5	M	3	5	21	1	1,29	2	2070
CR5	M	3	5	21	1	1,29	3	2348
CR5	M	1	5	21	1	1,29	1	766
CR5	M	1	5	21	1	1,29	2	792
CR5	M	1	5	21	1	1,29	3	825
CR5	M	0,5	5	21	1	1,29	1	414
CR5	M	0,5	5	21	1	1,29	2	367
CR5	M	0,5	5	21	1	1,29	3	446
CR5	M	0,2	5	21	1	1,29	1	193
CR5	M	0,2	5	21	1	1,29	2	155
CR5	M	0,2	5	21	1	1,29	3	166
CR6	M	7,5	5	21	1	1,29	1	5900
CR6	M	7,5	5	21	1	1,29	2	5834
CR6	M	7,5	5	21	1	1,29	3	5835
CR6	M	5	5	21	1	1,29	1	3682
CR6	M	5	5	21	1	1,29	2	3643
CR6	M	5	5	21	1	1,29	3	3548
CR6	M	3	5	21	1	1,29	1	2351
CR6	M	3	5	21	1	1,29	2	2126
CR6	M	3	5	21	1	1,29	3	2349
CR6	M	1	5	21	1	1,29	1	757
CR6	M	1	5	21	1	1,29	2	708
CR6	M	1	5	21	1	1,29	3	753
CR6	M	0,5	5	21	1	1,29	1	449
CR6	M	0,5	5	21	1	1,29	2	460
CR6	M	0,5	5	21	1	1,29	3	380
CR6	M	0,2	5	21	1	1,29	1	200
CR6	M	0,2	5	21	1	1,29	2	176
CR6	M	0,2	5	21	1	1,29	3	153
CR1	H	7,5	5	21	1	1,29	1	5588
CR1	H	7,5	5	21	1	1,29	2	5566
CR1	H	7,5	5	21	1	1,29	3	5718
CR1	H	5	5	21	1	1,29	1	3466
CR1	H	5	5	21	1	1,29	2	3492
CR1	H	5	5	21	1	1,29	3	3521
CR1	H	3	5	21	1	1,29	1	1933
CR1	H	3	5	21	1	1,29	2	1994
CR1	H	3	5	21	1	1,29	3	2131
CR1	H	1	5	21	1	1,29	1	680
CR1	H	1	5	21	1	1,29	2	639
CR1	H	1	5	21	1	1,29	3	681
CR1	H	0,5	5	21	1	1,29	1	243
CR1	H	0,5	5	21	1	1,29	2	276
CR1	H	0,5	5	21	1	1,29	3	307
CR1	H	0,2	5	21	1	1,29	1	91
CR1	H	0,2	5	21	1	1,29	2	90
CR1	H	0,2	5	21	1	1,29	3	86
CR2	H	7,5	5	21	1	1,29	1	5026
CR2	H	7,5	5	21	1	1,29	2	4898
CR2	H	7,5	5	21	1	1,29	3	4854
CR2	H	5	5	21	1	1,29	1	3284
CR2	H	5	5	21	1	1,29	2	3234
CR2	H	5	5	21	1	1,29	3	3216
CR2	H	3	5	21	1	1,29	1	1570
CR2	H	3	5	21	1	1,29	2	1654
CR2	H	3	5	21	1	1,29	3	1745
CR2	H	1	5	21	1	1,29	1	574
CR2	H	1	5	21	1	1,29	2	592
CR2	H	1	5	21	1	1,29	3	576
CR2	H	0,5	5	21	1	1,29	1	245
CR2	H	0,5	5	21	1	1,29	2	242
CR2	H	0,5	5	21	1	1,29	3	217
CR2	H	0,2	5	21	1	1,29	1	101
CR2	H	0,2	5	21	1	1,29	2	90
CR2	H	0,2	5	21	1	1,29	3	90
CR3	H	7,5	5	21	1	1,29	1	5390
CR3	H	7,5	5	21	1	1,29	2	5414
CR3	H	7,5	5	21	1	1,29	3	5362
CR3	H	5	5	21	1	1,29	1	3830
CR3	H	5	5	21	1	1,29	2	3582
CR3	H	5	5	21	1	1,29	3	3599
CR3	H	3	5	21	1	1,29	1	2155
CR3	H	3	5	21	1	1,29	2	2170
CR3	H	3	5	21	1	1,29	3	2241
CR3	H	1	5	21	1	1,29	1	733
CR3	H	1	5	21	1	1,29	2	608
CR3	H	1	5	21	1	1,29	3	727
CR3	H	0,5	5	21	1	1,29	1	309
CR3	H	0,5	5	21	1	1,29	2	320
CR3	H	0,5	5	21	1	1,29	3	321
CR3	H	0,2	5	21	1	1,29	1	120
CR3	H	0,2	5	21	1	1,29	2	103
CR3	H	0,2	5	21	1	1,29	3	103
CR4	H	7,5	5	21	1	1,29	1	6417
CR4	H	7,5	5	21	1	1,29	2	6478
CR4	H	7,5	5	21	1	1,29	3	6485
CR4	H	5	5	21	1	1,29	1	4867
CR4	H	5	5	21	1	1,29	2	4414
CR4	H	5	5	21	1	1,29	3	4382
CR4	H	3	5	21	1	1,29	1	2626
CR4	H	3	5	21	1	1,29	2	2685
CR4	H	3	5	21	1	1,29	3	2669
CR4	H	1	5	21	1	1,29	1	862
CR4	H	1	5	21	1	1,29	2	894
CR4	H	1	5	21	1	1,29	3	955
CR4	H	0,5	5	21	1	1,29	1	474
CR4	H	0,5	5	21	1	1,29	2	451
CR4	H	0,5	5	21	1	1,29	3	455
CR4	H	0,2	5	21	1	1,29	1	186
CR4	H	0,2	5	21	1	1,29	2	175
CR4	H	0,2	5	21	1	1,29	3	181
CR5	H	7,5	5	21	1	1,29	1	7551
CR5	H	7,5	5	21	1	1,29	2	7633
CR5	H	7,5	5	21	1	1,29	3	7502
CR5	H	5	5	21	1	1,29	1	5496
CR5	H	5	5	21	1	1,29	2	5609
CR5	H	5	5	21	1	1,29	3	5503
CR5	H	3	5	21	1	1,29	1	3655
CR5	H	3	5	21	1	1,29	2	3606
CR5	H	3	5	21	1	1,29	3	3641
CR5	H	1	5	21	1	1,29	1	1445
CR5	H	1	5	21	1	1,29	2	1448
CR5	H	1	5	21	1	1,29	3	1419
CR5	H	0,5	5	21	1	1,29	1	610
CR5	H	0,5	5	21	1	1,29	2	629
CR5	H	0,5	5	21	1	1,29	3	607
CR5	H	0,2	5	21	1	1,29	1	226
CR5	H	0,2	5	21	1	1,29	2	236
CR5	H	0,2	5	21	1	1,29	3	190
CR6	H	7,5	5	21	1	1,29	1	8281
CR6	H	7,5	5	21	1	1,29	2	8321
CR6	H	7,5	5	21	1	1,29	3	7826
CR6	H	5	5	21	1	1,29	1	6348
CR6	H	5	5	21	1	1,29	2	5853
CR6	H	5	5	21	1	1,29	3	6071
CR6	H	3	5	21	1	1,29	1	4161
CR6	H	3	5	21	1	1,29	2	4016
CR6	H	3	5	21	1	1,29	3	3809
CR6	H	1	5	21	1	1,29	1	1638
CR6	H	1	5	21	1	1,29	2	1556
CR6	H	1	5	21	1	1,29	3	1570
CR6	H	0,5	5	21	1	1,29	1	774
CR6	H	0,5	5	21	1	1,29	2	772
CR6	H	0,5	5	21	1	1,29	3	755
CR6	H	0,2	5	21	1	1,29	1	317
CR6	H	0,2	5	21	1	1,29	2	267
CR6	H	0,2	5	21	1	1,29	3	237
