Strain	Bead	Day	Dilu	Trial	Count
CR2-CR4	C	6	3	3	62
CR2-CR4	L	6	3	1	10
CR2-CR4	L	6	3	2	9
CR2-CR4	L	6	3	3	9
CR2-CR4	H	6	3	1	15
CR2-CR4	H	6	3	2	7
CR2-CR4	H	6	3	3	1
CR2	C	7	3	1	174
CR2	C	7	3	2	4
CR2	C	7	3	3	9
CR2	L	7	3	1	8
CR2	L	7	3	2	3
CR2	L	7	3	3	1
CR2	H	7	3	1	9
CR2	H	7	3	2	0
CR2	H	7	3	3	15
CR4	C	7	3	1	3
CR4	C	7	3	2	21
CR4	C	7	3	3	17
CR4	L	7	3	1	47
CR4	L	7	3	2	6
CR4	L	7	3	3	6
CR4	H	7	3	1	8
CR4	H	7	3	2	44
CR4	H	7	3	3	28
CR2-CR4	C	7	3	1	102
CR2-CR4	C	7	3	2	34
CR2-CR4	C	7	3	3	50
CR2-CR4	L	7	3	1	13
CR2-CR4	L	7	3	2	11
CR2-CR4	L	7	3	3	7
CR2-CR4	H	7	3	1	16
CR2-CR4	H	7	3	2	8
CR2-CR4	H	7	3	3	4
CR2	C	8	3	1	154
CR2	C	8	3	2	3
CR2	C	8	3	3	17
CR2	L	8	3	1	11
CR2	L	8	3	2	4
CR2	L	8	3	3	2
CR2	H	8	3	1	9
CR2	H	8	3	2	0
CR2	H	8	3	3	29
CR4	C	8	3	1	6
CR4	C	8	3	2	25
CR4	C	8	3	3	32
CR4	L	8	3	1	77
CR4	L	8	3	2	9
CR4	L	8	3	3	12
CR4	H	8	3	1	14
CR4	H	8	3	2	32
CR4	H	8	3	3	30
CR2-CR4	C	8	3	1	148
CR2-CR4	C	8	3	2	72
CR2-CR4	C	8	3	3	74
CR2-CR4	L	8	3	1	24
CR2-CR4	L	8	3	2	19
CR2-CR4	L	8	3	3	14
CR2-CR4	H	8	3	1	21
CR2-CR4	H	8	3	2	3
CR2-CR4	H	8	3	3	3
CR2	C	9	3	1	118
CR2	C	9	3	2	2
CR2	C	9	3	3	22
CR2	L	9	3	1	23
CR2	L	9	3	2	4
