Strain	Bead	Volu	Site	Dilu	Cove	Day	Trial	Cells
CR4	M	5	21	2	1,29	2	2	1732
CR4	M	5	21	2	1,29	2	3	1796
CR4	H	5	21	2	1,29	2	1	1413
CR4	H	5	21	2	1,29	2	2	1535
CR4	H	5	21	2	1,29	2	3	1496
CR2-CR4	C	5	21	2	1,29	2	1	1288
CR2-CR4	C	5	21	2	1,29	2	2	1101
CR2-CR4	C	5	21	2	1,29	2	3	992
CR2-CR4	L	5	21	2	1,29	2	1	839
CR2-CR4	L	5	21	2	1,29	2	2	694
CR2-CR4	L	5	21	2	1,29	2	3	751
CR2-CR4	M	5	21	2	1,29	2	1	1052
CR2-CR4	M	5	21	2	1,29	2	2	958
CR2-CR4	M	5	21	2	1,29	2	3	1169
CR2-CR4	H	5	21	2	1,29	2	1	845
CR2-CR4	H	5	21	2	1,29	2	2	838
CR2-CR4	H	5	21	2	1,29	2	3	949
CR7-CR4	C	5	21	2	1,29	2	1	2027
CR7-CR4	C	5	21	2	1,29	2	2	1477
CR7-CR4	C	5	21	2	1,29	2	3	1517
CR7-CR4	L	5	21	2	1,29	2	1	1240
CR7-CR4	L	5	21	2	1,29	2	2	1195
CR7-CR4	L	5	21	2	1,29	2	3	1569
CR7-CR4	M	5	21	2	1,29	2	1	1651
CR7-CR4	M	5	21	2	1,29	2	2	1683
CR7-CR4	M	5	21	2	1,29	2	3	1785
CR7-CR4	H	5	21	2	1,29	2	1	1335
CR7-CR4	H	5	21	2	1,29	2	2	1508
CR7-CR4	H	5	21	2	1,29	2	3	1554
CR2	C	5	21	2	1,29	3	1	530
CR2	C	5	21	2	1,29	3	2	649
CR2	C	5	21	2	1,29	3	3	659
CR2	L	5	21	2	1,29	3	1	318
CR2	L	5	21	2	1,29	3	2	229
CR2	L	5	21	2	1,29	3	3	287
CR2	M	5	21	2	1,29	3	1	309
CR2	M	5	21	2	1,29	3	2	187
CR2	M	5	21	2	1,29	3	3	330
CR2	H	5	21	2	1,29	3	1	298
CR2	H	5	21	2	1,29	3	2	272
CR2	H	5	21	2	1,29	3	3	193
CR4	C	5	21	2	1,29	3	1	2019
CR4	C	5	21	2	1,29	3	2	2002
CR4	C	5	21	2	1,29	3	3	2098
CR4	L	5	21	2	1,29	3	1	1620
CR4	L	5	21	2	1,29	3	2	1831
CR4	L	5	21	2	1,29	3	3	1766
CR4	M	5	21	2	1,29	3	1	1857
CR4	M	5	21	2	1,29	3	2	1696
CR4	M	5	21	2	1,29	3	3	1572
CR4	H	5	21	2	1,29	3	1	1628
CR4	H	5	21	2	1,29	3	2	1761
CR4	H	5	21	2	1,29	3	3	1669
CR2-CR4	C	5	21	2	1,29	3	1	1307
CR2-CR4	C	5	21	2	1,29	3	2	1293
CR2-CR4	C	5	21	2	1,29	3	3	1206
CR2-CR4	L	5	21	2	1,29	3	1	1030
CR2-CR4	L	5	21	2	1,29	3	2	936
CR2-CR4	L	5	21	2	1,29	3	3	981
CR2-CR4	M	5	21	2	1,29	3	1	1030
CR2-CR4	M	5	21	2	1,29	3	2	760
CR2-CR4	M	5	21	2	1,29	3	3	1156
CR2-CR4	H	5	21	2	1,29	3	1	917
CR2-CR4	H	5	21	2	1,29	3	2	861
CR2-CR4	H	5	21	2	1,29	3	3	1006
CR7-CR4	C	5	21	2	1,29	3	1	2514
CR7-CR4	C	5	21	2	1,29	3	2	2391
CR7-CR4	C	5	21	2	1,29	3	3	2562
CR7-CR4	L	5	21	2	1,29	3	1	1614
CR7-CR4	L	5	21	2	1,29	3	2	1802
CR7-CR4	L	5	21	2	1,29	3	3	2295
CR7-CR4	M	5	21	2	1,29	3	1	1673
CR7-CR4	M	5	21	2	1,29	3	2	1999
CR7-CR4	M	5	21	2	1,29	3	3	2238
CR7-CR4	H	5	21	2	1,29	3	1	1565
CR7-CR4	H	5	21	2	1,29	3	2	1776
CR7-CR4	H	5	21	2	1,29	3	3	1934
CR2	C	5	21	2	1,29	4	1	702
CR2	C	5	21	2	1,29	4	2	745
CR2	C	5	21	2	1,29	4	3	707
CR2	L	5	21	2	1,29	4	1	561
CR2	L	5	21	2	1,29	4	2	324
CR2	L	5	21	2	1,29	4	3	355
CR2	M	5	21	2	1,29	4	1	683
CR2	M	5	21	2	1,29	4	2	304
CR2	M	5	21	2	1,29	4	3	703
CR2	H	5	21	2	1,29	4	1	357
CR2	H	5	21	2	1,29	4	2	381
CR2	H	5	21	2	1,29	4	3	418
CR4	C	5	21	2	1,29	4	1	2495
CR4	C	5	21	2	1,29	4	2	2221
CR4	C	5	21	2	1,29	4	3	2401
CR4	L	5	21	2	1,29	4	1	2247
CR4	L	5	21	2	1,29	4	2	2267
CR4	L	5	21	2	1,29	4	3	1985
CR4	M	5	21	2	1,29	4	1	2303
CR4	M	5	21	2	1,29	4	2	2000
CR4	M	5	21	2	1,29	4	3	2000
CR4	H	5	21	2	1,29	4	1	1929
CR4	H	5	21	2	1,29	4	2	2044
CR4	H	5	21	2	1,29	4	3	1988
CR2-CR4	C	5	21	2	1,29	4	1	1245
CR2-CR4	C	5	21	2	1,29	4	2	1292
CR2-CR4	C	5	21	2	1,29	4	3	1285
CR2-CR4	L	5	21	2	1,29	4	1	1047
CR2-CR4	L	5	21	2	1,29	4	2	964
CR2-CR4	L	5	21	2	1,29	4	3	976
CR2-CR4	M	5	21	2	1,29	4	1	1103
CR2-CR4	M	5	21	2	1,29	4	2	1064
CR2-CR4	M	5	21	2	1,29	4	3	1032
CR2-CR4	H	5	21	2	1,29	4	1	1490
CR2-CR4	H	5	21	2	1,29	4	2	1419
CR2-CR4	H	5	21	2	1,29	4	3	1570
CR7-CR4	C	5	21	2	1,29	4	1	2406
CR7-CR4	C	5	21	2	1,29	4	2	2547
CR7-CR4	C	5	21	2	1,29	4	3	2686
CR7-CR4	L	5	21	2	1,29	4	1	1646
CR7-CR4	L	5	21	2	1,29	4	2	1791
CR7-CR4	L	5	21	2	1,29	4	3	1879
CR7-CR4	M	5	21	2	1,29	4	1	1785
CR7-CR4	M	5	21	2	1,29	4	2	2137
CR7-CR4	M	5	21	2	1,29	4	3	2228
CR7-CR4	H	5	21	2	1,29	4	1	1726
CR7-CR4	H	5	21	2	1,29	4	2	1655
CR7-CR4	H	5	21	2	1,29	4	3	1554
CR2	C	5	21	2	1,29	5	1	896
CR2	C	5	21	2	1,29	5	2	770
CR2	C	5	21	2	1,29	5	3	918
CR2	L	5	21	2	1,29	5	1	584
CR2	L	5	21	2	1,29	5	2	629
CR2	L	5	21	2	1,29	5	3	730
CR2	M	5	21	2	1,29	5	1	748
CR2	M	5	21	2	1,29	5	2	428
CR2	M	5	21	2	1,29	5	3	677
CR2	H	5	21	2	1,29	5	1	606
CR2	H	5	21	2	1,29	5	2	628
CR2	H	5	21	2	1,29	5	3	517
CR4	C	5	21	2	1,29	5	1	2583
CR4	C	5	21	2	1,29	5	2	2436
CR4	C	5	21	2	1,29	5	3	2539
CR4	L	5	21	2	1,29	5	1	2391
CR4	L	5	21	2	1,29	5	2	2396
CR4	L	5	21	2	1,29	5	3	2186
CR4	M	5	21	2	1,29	5	1	2709
CR4	M	5	21	2	1,29	5	2	2596
CR4	M	5	21	2	1,29	5	3	2721
CR4	H	5	21	2	1,29	5	1	2470
CR4	H	5	21	2	1,29	5	2	2546
CR4	H	5	21	2	1,29	5	3	2667
CR2-CR4	C	5	21	2	1,29	5	1	1151
CR2-CR4	C	5	21	2	1,29	5	2	1192
CR2-CR4	C	5	21	2	1,29	5	3	1276
CR2-CR4	L	5	21	2	1,29	5	1	1053
CR2-CR4	L	5	21	2	1,29	5	2	1000
CR2-CR4	L	5	21	2	1,29	5	3	887
CR2-CR4	M	5	21	2	1,29	5	1	1470
CR2-CR4	M	5	21	2	1,29	5	2	1195
CR2-CR4	M	5	21	2	1,29	5	3	1245
CR2-CR4	H	5	21	2	1,29	5	1	1728
CR2-CR4	H	5	21	2	1,29	5	2	1805
CR2-CR4	H	5	21	2	1,29	5	3	1739
CR7-CR4	C	5	21	2	1,29	5	1	2405
CR7-CR4	C	5	21	2	1,29	5	2	2756
CR7-CR4	C	5	21	2	1,29	5	3	3135
CR7-CR4	L	5	21	2	1,29	5	1	1799
CR7-CR4	L	5	21	2	1,29	5	2	1995
CR7-CR4	L	5	21	2	1,29	5	3	1730
CR7-CR4	M	5	21	2	1,29	5	1	2375
CR7-CR4	M	5	21	2	1,29	5	2	2576
CR7-CR4	M	5	21	2	1,29	5	3	2623
CR7-CR4	H	5	21	2	1,29	5	1	1474
CR7-CR4	H	5	21	2	1,29	5	2	1619
CR7-CR4	H	5	21	2	1,29	5	3	1586
CR2	C	5	21	2	1,29	6	1	1174
CR2	C	5	21	2	1,29	6	2	991
CR2	C	5	21	2	1,29	6	3	1096
