"Strain"	"Bead"	"DayP"	"DensP"	"DensPLSD"	"DensPUSD"	"DensPLCI"	"DensPUCI"	"Model"
"CR4"	"M"	0.9	4.4992	4.3197	4.6787	4.0009	4.9976	"Linear"
"CR4"	"M"	1	4.541	4.3614	4.7205	4.0426	5.0393	"Linear"
"CR4"	"M"	1.1	4.5827	4.4032	4.7622	4.0843	5.0811	"Linear"
"CR4"	"M"	1.2	4.6244	4.4449	4.8039	4.126	5.1228	"Linear"
"CR4"	"M"	1.3	4.6661	4.4866	4.8456	4.1677	5.1645	"Linear"
"CR4"	"M"	1.4	4.7078	4.5283	4.8873	4.2094	5.2062	"Linear"
"CR4"	"M"	1.5	4.7495	4.57	4.929	4.2511	5.2479	"Linear"
"CR4"	"M"	1.6	4.7912	4.6117	4.9707	4.2929	5.2896	"Linear"
"CR4"	"M"	1.7	4.833	4.6534	5.0125	4.3346	5.3313	"Linear"
"CR4"	"M"	1.8	4.8747	4.6952	5.0542	4.3763	5.3731	"Linear"
"CR4"	"M"	1.9	4.9164	4.7369	5.0959	4.418	5.4148	"Linear"
"CR4"	"M"	2	4.9581	4.7786	5.1376	4.4597	5.4565	"Linear"
"CR4"	"M"	2.1	4.9998	4.8203	5.1793	4.5014	5.4982	"Linear"
"CR4"	"M"	2.2	5.0415	4.862	5.221	4.5431	5.5399	"Linear"
"CR4"	"M"	2.3	5.0832	4.9037	5.2627	4.5849	5.5816	"Linear"
"CR4"	"M"	2.4	5.125	4.9454	5.3045	4.6266	5.6233	"Linear"
"CR4"	"M"	2.5	5.1667	4.9872	5.3462	4.6683	5.6651	"Linear"
"CR4"	"M"	2.6	5.2084	5.0289	5.3879	4.71	5.7068	"Linear"
"CR4"	"M"	2.7	5.2501	5.0706	5.4296	4.7517	5.7485	"Linear"
"CR4"	"M"	2.8	5.2918	5.1123	5.4713	4.7934	5.7902	"Linear"
"CR4"	"M"	2.9	5.3335	5.154	5.513	4.8351	5.8319	"Linear"
"CR4"	"M"	3	5.3752	5.1957	5.5547	4.8769	5.8736	"Linear"
"CR4"	"M"	3.1	5.417	5.2374	5.5965	4.9186	5.9153	"Linear"
"CR4"	"M"	3.2	5.4587	5.2792	5.6382	4.9603	5.9571	"Linear"
"CR4"	"M"	3.3	5.5004	5.3209	5.6799	5.002	5.9988	"Linear"
"CR4"	"M"	3.4	5.5421	5.3626	5.7216	5.0437	6.0405	"Linear"
"CR4"	"M"	3.5	5.5838	5.4043	5.7633	5.0854	6.0822	"Linear"
"CR4"	"M"	3.6	5.6255	5.446	5.805	5.1271	6.1239	"Linear"
"CR4"	"M"	3.7	5.6672	5.4877	5.8467	5.1689	6.1656	"Linear"
"CR4"	"M"	3.8	5.709	5.5294	5.8885	5.2106	6.2073	"Linear"
"CR4"	"M"	3.9	5.7507	5.5712	5.9302	5.2523	6.2491	"Linear"
"CR4"	"M"	4	5.7924	5.6129	5.9719	5.294	6.2908	"Linear"
"CR4"	"M"	4.1	5.8341	5.6546	6.0136	5.3357	6.3325	"Linear"
"CR4"	"M"	4.2	5.8758	5.6963	6.0553	5.3774	6.3742	"Linear"
"CR4"	"M"	4.3	5.9175	5.738	6.097	5.4191	6.4159	"Linear"
"CR4"	"M"	4.4	5.9592	5.7797	6.1387	5.4609	6.4576	"Linear"
"CR4"	"M"	4.5	6.001	5.8214	6.1805	5.5026	6.4993	"Linear"
"CR4"	"M"	4.6	6.0427	5.8632	6.2222	5.5443	6.5411	"Linear"
"CR4"	"M"	4.7	6.0844	5.9049	6.2639	5.586	6.5828	"Linear"
"CR4"	"M"	4.8	6.1261	5.9466	6.3056	5.6277	6.6245	"Linear"
"CR4"	"M"	4.9	6.1678	5.9883	6.3473	5.6694	6.6662	"Linear"
"CR4"	"M"	5	6.2095	6.03	6.389	5.7111	6.7079	"Linear"
"CR4"	"H"	0	4.9707	4.70872275996587	5.23257624649518	4.02156272095575	5.78692978178715	"Extinction"
"CR4"	"H"	0.1	4.9218	4.6624	5.1811	3.982	5.73	"Extinction"
"CR4"	"H"	0.2	4.8678	4.6323	5.1033	3.919	5.6263	"Extinction"
"CR4"	"H"	0.3	4.8125	4.59	5.0349	3.85	5.5536	"Extinction"
"CR4"	"H"	0.4	4.7567	4.5405	4.973	3.80536	5.4939	"Extinction"
"CR4"	"H"	0.5	4.701	4.4868	4.9152	3.7608	5.4395	"Extinction"
"CR4"	"H"	0.6	4.6457	4.4313	4.8601	3.71656	5.3868	"Extinction"
"CR4"	"H"	0.7	4.5908	4.3752	4.8064	3.67264	5.3341	"Extinction"
"CR4"	"H"	0.8	4.5365	4.3195	4.7535	3.6292	5.2806	"Extinction"
"CR4"	"H"	0.9	4.4829	4.2648	4.701	3.58632	5.2259	"Extinction"
"CR4"	"H"	1	4.43	4.2114	4.6487	3.544	5.1701	"Extinction"
"CR4"	"H"	1.1	4.3779	4.1595	4.5964	3.50232	5.1133	"Extinction"
"CR4"	"H"	1.2	4.3267	4.1091	4.5442	3.46136	5.0557	"Extinction"
"CR4"	"H"	1.3	4.2762	4.0602	4.4922	3.42096	4.9975	"Extinction"
"CR4"	"H"	1.4	4.2265	4.0128	4.4402	3.3812	4.939	"Extinction"
"CR4"	"H"	1.5	4.1777	3.9669	4.3886	3.34216	4.8804	"Extinction"
"CR4"	"H"	1.6	4.1297	3.9223	4.3372	3.30376	4.822	"Extinction"
"CR4"	"H"	1.7	4.0826	3.879	4.2862	3.26608	4.7641	"Extinction"
"CR4"	"H"	1.8	4.0362	3.8368	4.2357	3.22896	4.7068	"Extinction"
"CR4"	"H"	1.9	3.9907	3.7958	4.1857	3.19256	4.6505	"Extinction"
"CR4"	"H"	2	3.946	3.7557	4.1363	3.1568	4.5953	"Extinction"
"CR4"	"H"	2.1	3.9021	3.7165	4.0877	3.12168	4.5414	"Extinction"
"CR4"	"H"	2.2	3.859	3.6781	4.0399	3.0872	4.4891	"Extinction"
"CR4"	"H"	2.3	3.8166	3.6403	3.9929	3.05328	4.4384	"Extinction"
"CR4"	"H"	2.4	3.775	3.6032	3.9469	3.02	4.3896	"Extinction"
"CR4"	"H"	2.5	3.7342	3.5664	3.9019	2.98736	4.3428	"Extinction"
"CR4"	"H"	2.6	3.6941	3.5301	3.8581	2.95528	4.298	"Extinction"
"CR4"	"H"	2.7	3.6547	3.4941	3.8153	2.92376	4.2553	"Extinction"
"CR4"	"H"	2.8	3.616	3.4582	3.7738	2.8928	4.2149	"Extinction"
"CR4"	"H"	2.9	3.578	3.4225	3.7336	2.8624	4.1767	"Extinction"
"CR4"	"H"	3	3.5407	3.3868	3.6946	2.83256	4.1406	"Extinction"
"CR4"	"H"	3.1	3.504	3.3511	3.657	2.8032	4.1068	"Extinction"
"CR4"	"H"	3.2	3.468	3.3153	3.6207	2.7744	4.0751	"Extinction"
"CR4"	"H"	3.3	3.4326	3.2795	3.5858	2.74608	4.0456	"Extinction"
"CR4"	"H"	3.4	3.3979	3.2436	3.5522	2.71832	4.018	"Extinction"
"CR4"	"H"	3.5	3.3637	3.2076	3.5199	2.69096	3.9924	"Extinction"
"CR4"	"H"	3.6	3.3302	3.1715	3.4889	2.66416	3.9686	"Extinction"
"CR4"	"H"	3.7	3.2972	3.1355	3.459	2.63776	3.9465	"Extinction"
"CR4"	"H"	3.8	3.2648	3.0994	3.4303	2.61184	3.91776	"Extinction"
"CR4"	"H"	3.9	3.233	3.0633	3.4026	2.5864	3.8796	"Extinction"
"CR4"	"H"	4	3.2017	3.0274	3.376	2.56136	3.84204	"Extinction"
"CR4"	"H"	4.1	3.1709	2.9916	3.3503	2.53672	3.80508	"Extinction"
"CR4"	"H"	4.2	3.1407	2.9559	3.3254	2.51256	3.76884	"Extinction"
"CR4"	"H"	4.3	3.1109	2.9204	3.3014	2.48872	3.73308	"Extinction"
"CR4"	"H"	4.4	3.0817	2.8852	3.2782	2.46536	3.69804	"Extinction"
"CR4"	"H"	4.5	3.0529	2.8502	3.2556	2.44232	3.66348	"Extinction"
"CR4"	"H"	4.6	3.0247	2.8156	3.2337	2.41976	3.62964	"Extinction"
"CR4"	"H"	4.7	2.9968	2.7812	3.2125	2.39744	3.59616	"Extinction"
"CR4"	"H"	4.8	2.9695	2.7472	3.1918	2.3756	3.5634	"Extinction"
"CR4"	"H"	4.9	2.9426	2.7136	3.1716	2.35408	3.53112	"Extinction"
"CR4"	"H"	5	2.9161	2.6803	3.1519	2.33288	3.49932	"Extinction"
"CR5"	"C"	0	3.1802	2.54416	3.81624	2.54416	3.81624	"Logistic"
"CR5"	"C"	0.1	3.3579	2.68632	4.02948	2.68632	4.02948	"Logistic"
"CR5"	"C"	0.2	3.5439	2.83512	4.25268	2.83512	4.25268	"Logistic"
"CR5"	"C"	0.3	3.7384	2.99072	4.48608	2.99072	4.48608	"Logistic"
"CR5"	"C"	0.4	3.9415	3.1532	4.7298	3.1532	4.7298	"Logistic"
"CR5"	"C"	0.5	4.1533	3.32264	4.98396	3.32264	4.98396	"Logistic"
"CR5"	"C"	0.6	4.3741	3.49928	5.24892	3.49928	5.24892	"Logistic"
"CR5"	"C"	0.7	4.6039	3.68312	5.52468	3.68312	5.52468	"Logistic"
"CR5"	"C"	0.8	4.8428	3.87424	5.81136	3.87424	5.81136	"Logistic"
"CR5"	"C"	0.9	5.0908	4.07264	6.10896	4.07264	6.10896	"Logistic"
"CR5"	"C"	1	5.348	4.2784	6.4176	4.2784	6.4176	"Logistic"
"CR5"	"C"	1.1	5.6144	4.49152	6.73728	4.49152	6.73728	"Logistic"
"CR5"	"C"	1.2	5.8898	4.71184	7.06776	4.71184	7.06776	"Logistic"
"CR5"	"C"	1.3	6.1742	4.93936	7.40904	4.93936	7.40904	"Logistic"
"CR5"	"C"	1.4	6.4675	5.174	7.761	5.174	7.761	"Logistic"
"CR5"	"C"	1.5	6.7694	5.41552	8.12328	5.41552	8.12328	"Logistic"
"CR5"	"C"	1.6	7.0797	5.66376	8.49564	5.66376	8.49564	"Logistic"
"CR5"	"C"	1.7	7.3982	5.91856	8.87784	5.91856	8.87784	"Logistic"
"CR5"	"C"	1.8	7.7244	6.17952	9.26928	6.17952	9.26928	"Logistic"
"CR5"	"C"	1.9	8.0581	6.44648	9.66972	6.44648	9.66972	"Logistic"
"CR5"	"C"	2	8.3988	6.71904	10.07856	6.71904	10.07856	"Logistic"
"CR5"	"C"	2.1	8.746	6.9968	10.4952	6.9968	10.4952	"Logistic"
"CR5"	"C"	2.2	9.0992	7.27936	10.91904	7.27936	10.91904	"Logistic"
"CR5"	"C"	2.3	9.4579	7.56632	11.34948	7.56632	11.34948	"Logistic"
"CR5"	"C"	2.4	9.8214	7.85712	11.78568	7.85712	11.78568	"Logistic"
"CR5"	"C"	2.5	10.1891	8.15128	12.22692	8.15128	12.22692	"Logistic"
"CR5"	"C"	2.6	10.5604	8.44832	12.67248	8.44832	12.67248	"Logistic"
"CR5"	"C"	2.7	10.9345	8.7476	13.1214	8.7476	13.1214	"Logistic"
"CR5"	"C"	2.8	11.3107	9.04856	13.57284	9.04856	13.57284	"Logistic"
"CR5"	"C"	2.9	11.6884	9.35072	14.02608	9.35072	14.02608	"Logistic"
"CR5"	"C"	3	12.0667	9.65336	14.48004	9.65336	14.48004	"Logistic"
"CR5"	"C"	3.1	12.4449	9.95592	14.93388	9.95592	14.93388	"Logistic"
"CR5"	"C"	3.2	12.8223	10.25784	15.38676	10.25784	15.38676	"Logistic"
"CR5"	"C"	3.3	13.1981	10.55848	15.83772	10.55848	15.83772	"Logistic"
"CR5"	"C"	3.4	13.5716	10.85728	16.28592	10.85728	16.28592	"Logistic"
"CR5"	"C"	3.5	13.9421	11.15368	16.73052	11.15368	16.73052	"Logistic"
"CR5"	"C"	3.6	14.3089	11.44712	17.17068	11.44712	17.17068	"Logistic"
"CR5"	"C"	3.7	14.6714	11.73712	17.60568	11.73712	17.60568	"Logistic"
"CR5"	"C"	3.8	15.0288	12.02304	18.03456	12.02304	18.03456	"Logistic"
"CR5"	"C"	3.9	15.3806	12.30448	18.45672	12.30448	18.45672	"Logistic"
"CR5"	"C"	4	15.7264	12.58112	18.87168	12.58112	18.87168	"Logistic"
"CR5"	"C"	4.1	16.0654	12.85232	19.27848	12.85232	19.27848	"Logistic"
"CR5"	"C"	4.2	16.3974	13.11792	19.67688	13.11792	19.67688	"Logistic"
"CR5"	"C"	4.3	16.7219	13.37752	20.06628	13.37752	20.06628	"Logistic"
"CR5"	"C"	4.4	17.0385	13.6308	20.4462	13.6308	20.4462	"Logistic"
"CR5"	"C"	4.5	17.3469	13.87752	20.81628	13.87752	20.81628	"Logistic"
"CR5"	"C"	4.6	17.6468	14.11744	21.17616	14.11744	21.17616	"Logistic"
"CR5"	"C"	4.7	17.938	14.3504	21.5256	14.3504	21.5256	"Logistic"
"CR5"	"C"	4.8	18.2203	14.57624	21.86436	14.57624	21.86436	"Logistic"
"CR5"	"C"	4.9	18.4936	14.79488	22.19232	14.79488	22.19232	"Logistic"
"CR5"	"C"	5	18.7578	15.00624	22.50936	15.00624	22.50936	"Logistic"
"CR5"	"L"	0	4.5468	4.1675	4.9262	3.63744	5.45616	"Exponential"
"CR5"	"L"	0.1	4.6354	4.2486	5.0222	3.70832	5.56248	"Exponential"
"CR5"	"L"	0.2	4.7257	4.3314	5.12	3.78056	5.67084	"Exponential"
"CR5"	"L"	0.3	4.8178	4.4158	5.2198	3.85424	5.78136	"Exponential"
"CR5"	"L"	0.4	4.9116	4.5018	5.3214	3.92928	5.89392	"Exponential"
"CR5"	"L"	0.5	5.0073	4.5895	5.4251	4.00584	6.00876	"Exponential"
"CR5"	"L"	0.6	5.1049	4.6789	5.5308	4.08392	6.12588	"Exponential"
"CR5"	"L"	0.7	5.2043	4.7701	5.6386	4.16344	6.24516	"Exponential"
"CR5"	"L"	0.8	5.3057	4.863	5.7484	4.24456	6.36684	"Exponential"
"CR5"	"L"	0.9	5.4091	4.9578	5.8604	4.32728	6.49092	"Exponential"
"CR5"	"L"	1	5.5145	5.0543	5.9746	4.4116	6.6174	"Exponential"
"CR5"	"L"	1.1	5.6219	5.1528	6.091	4.49752	6.74628	"Exponential"
"CR5"	"L"	1.2	5.7314	5.2532	6.2096	4.58512	6.87768	"Exponential"
"CR5"	"L"	1.3	5.8431	5.3555	6.3306	4.67448	7.01172	"Exponential"
"CR5"	"L"	1.4	5.9569	5.4599	6.4539	4.76552	7.14828	"Exponential"
"CR5"	"L"	1.5	6.0729	5.5662	6.5797	4.85832	7.28748	"Exponential"
"CR5"	"L"	1.6	6.1913	5.6747	6.7078	4.95304	7.42956	"Exponential"
"CR5"	"L"	1.7	6.3119	5.7852	6.8385	5.04952	7.57428	"Exponential"
"CR5"	"L"	1.8	6.4348	5.8979	6.9717	5.14784	7.72176	"Exponential"
"CR5"	"L"	1.9	6.5602	6.0128	7.1076	5.24816	7.87224	"Exponential"
"CR5"	"L"	2	6.688	6.13	7.246	5.3504	8.0256	"Exponential"
"CR5"	"L"	2.1	6.8183	6.2494	7.3872	5.45464	8.18196	"Exponential"
"CR5"	"L"	2.2	6.9511	6.3711	7.5311	5.56088	8.34132	"Exponential"
"CR5"	"L"	2.3	7.0865	6.4953	7.6778	5.6692	8.5038	"Exponential"
"CR5"	"L"	2.4	7.2246	6.6218	7.8274	5.77968	8.66952	"Exponential"
"CR5"	"L"	2.5	7.3653	6.7508	7.9799	5.89224	8.83836	"Exponential"
"CR5"	"L"	2.6	7.5088	6.8823	8.1353	6.00704	9.01056	"Exponential"
"CR5"	"L"	2.7	7.6551	7.0164	8.2938	6.12408	9.18612	"Exponential"
"CR5"	"L"	2.8	7.8042	7.1531	8.4554	6.24336	9.36504	"Exponential"
"CR5"	"L"	2.9	7.9563	7.2924	8.6201	6.36504	9.54756	"Exponential"
"CR5"	"L"	3	8.1113	7.4345	8.7881	6.48904	9.73356	"Exponential"
"CR5"	"L"	3.1	8.2693	7.5793	8.9593	6.61544	9.92316	"Exponential"
"CR5"	"L"	3.2	8.4304	7.727	9.1338	6.74432	10.11648	"Exponential"
"CR5"	"L"	3.3	8.5946	7.8775	9.3118	6.87568	10.31352	"Exponential"
"CR5"	"L"	3.4	8.7621	8.031	9.4932	7.00968	10.51452	"Exponential"
"CR5"	"L"	3.5	8.9328	8.1875	9.6781	7.14624	10.71936	"Exponential"
"CR5"	"L"	3.6	9.1068	8.347	9.8666	7.28544	10.92816	"Exponential"
"CR5"	"L"	3.7	9.2842	8.5096	10.0589	7.42736	11.14104	"Exponential"
"CR5"	"L"	3.8	9.4651	8.6753	10.2548	7.57208	11.35812	"Exponential"
"CR5"	"L"	3.9	9.6495	8.8444	10.4546	7.7196	11.5794	"Exponential"
"CR5"	"L"	4	9.8375	9.0167	10.6583	7.87	11.805	"Exponential"
"CR5"	"L"	4.1	10.0291	9.1923	10.8659	8.02328	12.03492	"Exponential"
"CR5"	"L"	4.2	10.2245	9.3714	11.0776	8.1796	12.2694	"Exponential"
"CR5"	"L"	4.3	10.4237	9.554	11.2934	8.33896	12.50844	"Exponential"
"CR5"	"L"	4.4	10.6268	9.7401	11.5134	8.50144	12.75216	"Exponential"
"CR5"	"L"	4.5	10.8338	9.9298	11.7377	8.66704	13.00056	"Exponential"
"CR5"	"L"	4.6	11.0448	10.1233	11.9664	8.83584	13.25376	"Exponential"
"CR5"	"L"	4.7	11.26	10.3205	12.1995	9.008	13.512	"Exponential"
"CR5"	"L"	4.8	11.4794	10.5216	12.4372	9.18352	13.77528	"Exponential"
"CR5"	"L"	4.9	11.703	10.7265	12.6795	9.3624	14.0436	"Exponential"
"CR5"	"L"	5	11.931	10.9355	12.9265	9.5448	14.3172	"Exponential"
"CR5"	"M"	0	4.019	3.5028	4.5353	3.2152	4.8228	"Linear"
"CR5"	"M"	0.1	4.1156	3.5993	4.6319	3.29248	4.93872	"Linear"
"CR5"	"M"	0.2	4.2122	3.6959	4.7285	3.36976	5.05464	"Linear"
"CR5"	"M"	0.3	4.3088	3.7925	4.825	3.44704	5.17056	"Linear"
"CR5"	"M"	0.4	4.4053	3.8891	4.9216	3.52424	5.28636	"Linear"
"CR5"	"M"	0.5	4.5019	3.9856	5.0182	3.60152	5.40228	"Linear"
"CR5"	"M"	0.6	4.5985	4.0822	5.1148	3.6788	5.5182	"Linear"
"CR5"	"M"	0.7	4.695	4.1788	5.2113	3.756	5.634	"Linear"
"CR5"	"M"	0.8	4.7916	4.2753	5.3079	3.83328	5.74992	"Linear"
"CR5"	"M"	0.9	4.8882	4.3719	5.4045	3.91056	5.86584	"Linear"
"CR5"	"M"	1	4.9848	4.4685	5.501	3.98784	5.98176	"Linear"
"CR5"	"M"	1.1	5.0813	4.5651	5.5976	4.06504	6.09756	"Linear"
"CR5"	"M"	1.2	5.1779	4.6616	5.6942	4.14232	6.21348	"Linear"
"CR5"	"M"	1.3	5.2745	4.7582	5.7908	4.2196	6.3294	"Linear"
"CR5"	"M"	1.4	5.371	4.8548	5.8873	4.2968	6.4452	"Linear"
"CR5"	"M"	1.5	5.4676	4.9513	5.9839	4.37408	6.56112	"Linear"
"CR5"	"M"	1.6	5.5642	5.0479	6.0805	4.45136	6.67704	"Linear"
"CR5"	"M"	1.7	5.6608	5.1445	6.177	4.52864	6.79296	"Linear"
"CR5"	"M"	1.8	5.7573	5.2411	6.2736	4.60584	6.90876	"Linear"
"CR5"	"M"	1.9	5.8539	5.3376	6.3702	4.68312	7.02468	"Linear"
"CR5"	"M"	2	5.9505	5.4342	6.4668	4.7604	7.1406	"Linear"
"CR5"	"M"	2.1	6.047	5.5308	6.5633	4.8376	7.2564	"Linear"
"CR5"	"M"	2.2	6.1436	5.6273	6.6599	4.91488	7.37232	"Linear"
"CR5"	"M"	2.3	6.2402	5.7239	6.7565	4.99216	7.48824	"Linear"
"CR5"	"M"	2.4	6.3368	5.8205	6.853	5.06944	7.60416	"Linear"
"CR5"	"M"	2.5	6.4333	5.9171	6.9496	5.14664	7.71996	"Linear"
"CR5"	"M"	2.6	6.5299	6.0136	7.0462	5.22392	7.83588	"Linear"
"CR5"	"M"	2.7	6.6265	6.1102	7.1428	5.3012	7.9518	"Linear"
"CR5"	"M"	2.8	6.723	6.2068	7.2393	5.3784	8.0676	"Linear"
"CR5"	"M"	2.9	6.8196	6.3033	7.3359	5.45568	8.18352	"Linear"
"CR5"	"M"	3	6.9162	6.3999	7.4325	5.53296	8.29944	"Linear"
"CR5"	"M"	3.1	7.0128	6.4965	7.529	5.61024	8.41536	"Linear"
"CR5"	"M"	3.2	7.1093	6.5931	7.6256	5.68744	8.53116	"Linear"
"CR5"	"M"	3.3	7.2059	6.6896	7.7222	5.7725	8.6393	"Linear"
"CR5"	"M"	3.4	7.3025	6.7862	7.8188	5.8691	8.7359	"Linear"
"CR5"	"M"	3.5	7.399	6.8828	7.9153	5.9656	8.8325	"Linear"
"CR5"	"M"	3.6	7.4956	6.9793	8.0119	6.0622	8.929	"Linear"
"CR5"	"M"	3.7	7.5922	7.0759	8.1085	6.1588	9.0256	"Linear"
"CR5"	"M"	3.8	7.6888	7.1725	8.205	6.2553	9.1222	"Linear"
"CR5"	"M"	3.9	7.7853	7.2691	8.3016	6.3519	9.2188	"Linear"
"CR5"	"M"	4	7.8819	7.3656	8.3982	6.4485	9.3153	"Linear"
"CR5"	"M"	4.1	7.9785	7.4622	8.4948	6.5451	9.4119	"Linear"
"CR5"	"M"	4.2	8.075	7.5588	8.5913	6.6416	9.5085	"Linear"
"CR5"	"M"	4.3	8.1716	7.6553	8.6879	6.7382	9.605	"Linear"
"CR5"	"M"	4.4	8.2682	7.7519	8.7845	6.8348	9.7016	"Linear"
"CR5"	"M"	4.5	8.3648	7.8485	8.881	6.9313	9.7982	"Linear"
"CR5"	"M"	4.6	8.4613	7.9451	8.9776	7.0279	9.8948	"Linear"
"CR5"	"M"	4.7	8.5579	8.0416	9.0742	7.1245	9.9913	"Linear"
"CR5"	"M"	4.8	8.6545	8.1382	9.1708	7.2211	10.0879	"Linear"
"CR5"	"M"	4.9	8.751	8.2348	9.2673	7.3176	10.1845	"Linear"
"CR5"	"M"	5	8.8476	8.3313	9.3639	7.4142	10.281	"Linear"
"CR5"	"H"	0	4.9522	4.7168671271003	5.1875328728997	4.07498523038862	5.68913391609112	"Extinction"
"CR5"	"H"	0.1	4.8505	4.62	5.081	3.9913	5.5723	"Extinction"
"CR5"	"H"	0.2	4.7597	4.5422	4.9771	3.8888	5.4552	"Extinction"
"CR5"	"H"	0.3	4.6745	4.4595	4.8895	3.7888	5.3673	"Extinction"
"CR5"	"H"	0.4	4.5937	4.3775	4.81	3.6974	5.289	"Extinction"
"CR5"	"H"	0.5	4.5167	4.2985	4.7349	3.6152	5.2141	"Extinction"
"CR5"	"H"	0.6	4.443	4.2233	4.6627	3.5544	5.1401	"Extinction"
"CR5"	"H"	0.7	4.3722	4.152	4.5924	3.49776	5.0663	"Extinction"
"CR5"	"H"	0.8	4.3042	4.0845	4.5239	3.44336	4.9924	"Extinction"
"CR5"	"H"	0.9	4.2387	4.0206	4.4567	3.39096	4.9187	"Extinction"
"CR5"	"H"	1	4.1755	3.9599	4.391	3.3404	4.8452	"Extinction"
"CR5"	"H"	1.1	4.1144	3.9022	4.3266	3.29152	4.7722	"Extinction"
"CR5"	"H"	1.2	4.0554	3.8473	4.2636	3.24432	4.6999	"Extinction"
"CR5"	"H"	1.3	3.9984	3.7948	4.202	3.19872	4.6286	"Extinction"
"CR5"	"H"	1.4	3.9431	3.7445	4.1417	3.15448	4.5586	"Extinction"
"CR5"	"H"	1.5	3.8895	3.6962	4.0828	3.1116	4.49	"Extinction"
"CR5"	"H"	1.6	3.8375	3.6497	4.0254	3.0717	4.423	"Extinction"
"CR5"	"H"	1.7	3.7871	3.6048	3.9694	3.0378	4.3579	"Extinction"
"CR5"	"H"	1.8	3.7381	3.5614	3.9149	3.0047	4.2947	"Extinction"
"CR5"	"H"	1.9	3.6905	3.5193	3.8618	2.972	4.2336	"Extinction"
"CR5"	"H"	2	3.6443	3.4783	3.8103	2.9396	4.1748	"Extinction"
"CR5"	"H"	2.1	3.5993	3.4383	3.7602	2.9072	4.1183	"Extinction"
"CR5"	"H"	2.2	3.5555	3.3993	3.7117	2.8746	4.0643	"Extinction"
"CR5"	"H"	2.3	3.5128	3.3609	3.6647	2.8417	4.0127	"Extinction"
"CR5"	"H"	2.4	3.4713	3.3233	3.6193	2.8084	3.9637	"Extinction"
"CR5"	"H"	2.5	3.4308	3.2862	3.5754	2.7745	3.9173	"Extinction"
"CR5"	"H"	2.6	3.3913	3.2495	3.5331	2.74	3.8734	"Extinction"
"CR5"	"H"	2.7	3.3528	3.2133	3.4924	2.7048	3.8321	"Extinction"
"CR5"	"H"	2.8	3.3153	3.1773	3.4532	2.6689	3.7933	"Extinction"
"CR5"	"H"	2.9	3.2786	3.1417	3.4155	2.6324	3.7569	"Extinction"
"CR5"	"H"	3	3.2428	3.1063	3.3793	2.5952	3.7228	"Extinction"
"CR5"	"H"	3.1	3.2078	3.0711	3.3446	2.56624	3.691	"Extinction"
"CR5"	"H"	3.2	3.1737	3.0362	3.3112	2.53896	3.6614	"Extinction"
"CR5"	"H"	3.3	3.1403	3.0014	3.2792	2.51224	3.6338	"Extinction"
"CR5"	"H"	3.4	3.1076	2.9669	3.2484	2.48608	3.6081	"Extinction"
"CR5"	"H"	3.5	3.0757	2.9326	3.2188	2.46056	3.5841	"Extinction"
"CR5"	"H"	3.6	3.0445	2.8986	3.1904	2.4356	3.5618	"Extinction"
"CR5"	"H"	3.7	3.0139	2.8649	3.163	2.41112	3.541	"Extinction"
"CR5"	"H"	3.8	2.984	2.8314	3.1366	2.3872	3.5217	"Extinction"
"CR5"	"H"	3.9	2.9548	2.7984	3.1111	2.36384	3.5036	"Extinction"
"CR5"	"H"	4	2.9261	2.7656	3.0865	2.34088	3.4867	"Extinction"
"CR5"	"H"	4.1	2.898	2.7333	3.0627	2.3184	3.4708	"Extinction"
"CR5"	"H"	4.2	2.8705	2.7013	3.0396	2.2964	3.4446	"Extinction"
"CR5"	"H"	4.3	2.8435	2.6698	3.0173	2.2748	3.4122	"Extinction"
"CR5"	"H"	4.4	2.8171	2.6386	2.9955	2.25368	3.38052	"Extinction"
"CR5"	"H"	4.5	2.7912	2.6079	2.9744	2.23296	3.34944	"Extinction"
"CR5"	"H"	4.6	2.7658	2.5776	2.9539	2.21264	3.31896	"Extinction"
"CR5"	"H"	4.7	2.7408	2.5478	2.9338	2.19264	3.28896	"Extinction"
"CR5"	"H"	4.8	2.7164	2.5184	2.9143	2.17312	3.25968	"Extinction"
"CR5"	"H"	4.9	2.6924	2.4895	2.8953	2.15392	3.23088	"Extinction"
"CR5"	"H"	5	2.6688	2.4609	2.8767	2.13504	3.20256	"Extinction"
"CR6"	"C"	0	3.4384	2.75072	4.12608	2.75072	4.12608	"Logistic"
"CR6"	"C"	0.1	3.6698	2.93584	4.40376	2.93584	4.40376	"Logistic"
"CR6"	"C"	0.2	3.9119	3.12952	4.69428	3.12952	4.69428	"Logistic"
"CR6"	"C"	0.3	4.1645	3.3316	4.9974	3.3316	4.9974	"Logistic"
"CR6"	"C"	0.4	4.4273	3.54184	5.31276	3.54184	5.31276	"Logistic"
"CR6"	"C"	0.5	4.7002	3.76016	5.64024	3.76016	5.64024	"Logistic"
"CR6"	"C"	0.6	4.9825	3.986	5.979	3.986	5.979	"Logistic"
"CR6"	"C"	0.7	5.2737	4.21896	6.32844	4.21896	6.32844	"Logistic"
"CR6"	"C"	0.8	5.5733	4.45864	6.68796	4.45864	6.68796	"Logistic"
"CR6"	"C"	0.9	5.8805	4.7044	7.0566	4.7044	7.0566	"Logistic"
"CR6"	"C"	1	6.1944	4.95552	7.43328	4.95552	7.43328	"Logistic"
